   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
DeAndre Hopkins	Hou	Ten	0	0	0	0	0	0	0	0	0	0	9	238	2	0	0	0	35
Calvin Johnson	Det	Chi	0	0	0	0	0	0	0	0	0	0	11	146	2	0	0	0	26
Donte Moncrief	Ind	Was	0	0	0	0	0	0	1	6	0	0	3	134	2	0	0	0	25
Julio Jones	Atl	Ari	0	0	0	0	0	0	0	0	0	0	10	189	1	0	0	0	24
Keenan Allen	SD	@Bal	0	0	0	0	0	0	0	0	0	0	11	121	2	0	0	0	24
Antonio Brown	Pit	NO	0	0	0	0	0	0	0	0	0	0	8	97	2	1	0	0	23
Kenny Stills	NO	@Pit	0	0	0	0	0	0	0	0	0	0	5	162	1	0	0	0	22
Kendall Wright	Ten	@Hou	0	0	0	0	0	0	0	0	0	0	7	132	1	0	0	0	19
Alshon Jeffery	Chi	@Det	0	0	0	0	0	0	0	0	0	0	9	71	2	0	0	0	19
Torrey Smith	Bal	SD	0	0	0	0	0	0	0	0	0	0	6	65	2	0	0	0	18
Brandon LaFell	NE	@GB	0	0	0	0	0	0	0	0	0	0	5	38	2	0	0	0	15
DeSean Jackson	Was	@Ind	0	0	0	0	0	0	0	0	0	0	5	84	1	0	0	0	14
Eddie Royal	SD	@Bal	0	0	0	0	0	0	0	0	0	0	9	81	1	0	1	0	13
Marqise Lee	Jac	NYG	0	0	0	0	0	0	0	0	0	0	6	75	1	0	0	0	13
Nate Washington	Ten	@Hou	0	0	0	0	0	0	0	0	0	0	5	61	1	0	0	0	12
Demaryius Thomas	Den	@KC	0	0	0	0	0	0	0	0	0	0	6	63	1	0	0	0	12
T.Y. Hilton	Ind	Was	0	0	0	0	0	0	0	0	0	0	5	62	1	0	0	0	12
Davante Adams	GB	NE	0	0	0	0	0	0	0	0	0	0	6	121	0	0	0	0	12
Jordy Nelson	GB	NE	0	0	0	0	0	0	0	0	0	0	2	53	1	0	0	0	11
Jordan Matthews	Phi	@Dal	0	0	0	0	0	0	0	0	0	0	4	51	1	0	0	0	11
A.J. Green	Cin	@TB	0	0	0	0	0	0	0	0	0	0	4	57	1	0	0	0	11
Harry Douglas	Atl	Ari	0	0	0	0	0	0	0	0	0	0	9	116	0	0	0	0	11
Jeremy Maclin	Phi	@Dal	0	0	0	0	0	0	0	0	0	0	8	108	0	0	0	0	10
Andre Johnson	Hou	Ten	0	0	0	0	0	0	0	0	0	0	7	53	1	0	1	0	10
Greg Jennings	Min	Car	0	0	0	0	0	0	0	0	0	0	5	45	1	0	0	0	10
Stedman Bailey	Stl	Oak	0	0	0	0	0	0	0	0	0	0	5	100	0	0	0	0	10
Philly Brown	Car	@Min	0	0	0	0	0	0	1	4	0	0	2	34	1	0	0	0	9
Odell Beckham	NYG	@Jac	0	0	0	0	0	0	1	4	0	0	7	90	0	0	0	0	9
Tavon Austin	Stl	Oak	0	0	0	0	0	0	2	24	1	0	2	11	0	0	0	0	9
Golden Tate	Det	Chi	0	0	0	0	0	0	0	0	0	0	8	89	0	0	0	0	8
Greg Salas	NYJ	Mia	0	0	0	0	0	0	1	20	1	0	0	0	0	0	0	0	8
