
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Ryan Fitzpatrick	Hou	Ten	33	24	358	6	0	0	2	10	0	0	0	0	0	0	0	0	51
Andrew Luck	Ind	Was	27	19	370	5	1	0	4	20	0	0	0	0	0	0	1	0	43
Drew Brees	NO	@Pit	27	19	257	5	0	0	0	0	0	0	0	0	0	0	0	0	40
Colt McCoy	Was	@Ind	47	31	392	3	0	0	3	12	0	0	0	0	0	0	1	0	33
Philip Rivers	SD	@Bal	45	34	383	3	1	0	4	19	0	0	0	0	0	0	0	0	32
Ben Roethlisberger	Pit	NO	58	32	435	2	2	2	1	8	0	0	0	0	0	0	0	0	29
Aaron Rodgers	GB	NE	38	24	368	2	0	0	5	22	0	0	0	0	0	0	0	0	28
Joe Flacco	Bal	SD	31	19	225	2	0	0	2	3	1	0	0	0	0	0	0	0	27
Matthew Stafford	Det	Chi	45	34	390	2	0	0	0	0	0	0	0	0	0	0	1	0	26
Shaun Hill	Stl	Oak	22	13	183	2	0	0	2	1	1	0	0	0	0	0	0	0	25
Matt Ryan	Atl	Ari	41	30	361	2	1	0	3	4	0	0	0	0	0	0	0	0	24
Mark Sanchez	Phi	@Dal	29	20	217	1	0	0	7	28	1	0	0	0	0	0	0	0	22
Tom Brady	NE	@GB	35	22	245	2	0	0	1	-1	0	0	0	0	0	0	0	0	21
Jay Cutler	Chi	@Det	48	31	280	2	2	0	1	-1	0	0	0	0	0	0	0	0	19
Blake Bortles	Jac	NYG	35	21	194	1	0	0	5	68	0	0	0	0	0	0	0	0	19
Russell Wilson	Sea	@SF	22	15	236	1	0	0	7	35	0	0	0	0	0	0	0	0	18
Peyton Manning	Den	@KC	34	17	179	2	0	0	2	-6	0	0	0	0	0	0	1	0	18
Teddy Bridgewater	Min	Car	21	15	138	2	0	0	2	12	0	0	0	0	0	0	0	0	18
Alex Smith	KC	Den	23	15	153	2	1	0	5	6	0	0	0	0	0	0	0	0	16
Cam Newton	Car	@Min	35	18	194	1	1	0	9	49	0	0	0	0	0	0	0	0	15
Drew Stanton	Ari	@Atl	39	24	294	1	2	0	1	7	0	0	0	0	0	0	0	0	13
Eli Manning	NYG	@Jac	34	24	247	1	0	0	0	0	0	0	0	0	0	0	2	0	13
Andy Dalton	Cin	@TB	27	19	176	1	3	0	3	7	1	0	0	0	0	0	0	0	13
Zach Mettenberger	Ten	@Hou	19	13	184	1	1	0	1	8	0	0	0	0	0	0	0	0	11
Kyle Orton	Buf	Cle	31	17	190	1	2	0	0	0	0	0	0	0	0	0	0	0	9
Johnny Manziel	Cle	@Buf	8	5	63	0	0	0	2	13	1	0	0	0	0	0	0	0	9
Ryan Tannehill	Mia	@NYJ	35	25	235	0	1	0	4	13	0	0	0	0	0	0	0	0	8
Josh McCown	TB	Cin	29	15	190	0	1	0	1	0	0	0	0	0	0	0	0	0	5
Jake Locker	Ten	@Hou	12	6	91	1	2	0	0	0	0	0	0	0	0	0	1	0	4
Tony Romo	Dal	Phi	29	18	199	0	2	0	1	-1	0	0	0	0	0	0	0	0	3
Brian Hoyer	Cle	@Buf	30	18	192	0	2	0	0	0	0	0	0	0	0	0	0	0	3
Derek Carr	Oak	@Stl	39	24	173	0	2	0	1	1	0	0	0	0	0	0	0	0	2
Geno Smith	NYJ	Mia	13	7	65	0	1	0	4	19	0	0	0	0	0	0	0	0	1
Colin Kaepernick	SF	Sea	29	16	121	0	2	0	3	17	0	0	0	0	0	0	0	0	1
