   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
C.J. Anderson	Den	Oak	0	0	0	0	0	0	13	87	3	0	2	20	0	0	0	0	28
Lamar Miller	Mia	NYJ	0	0	0	0	0	0	19	178	1	0	0	0	0	0	0	0	23
DeMarco Murray	Dal	@Was	0	0	0	0	0	0	20	100	1	0	3	21	0	0	0	0	18
Terrance West	Cle	@Bal	0	0	0	0	0	0	18	94	1	0	2	12	0	0	0	0	16
Jordan Todman	Jac	@Hou	0	0	0	0	0	0	7	52	0	0	5	46	1	0	0	0	15
Marshawn Lynch	Sea	Stl	0	0	0	0	0	0	14	60	1	0	3	36	0	0	1	0	14
Frank Gore	SF	Ari	0	0	0	0	0	0	25	144	0	0	2	5	0	0	0	0	14
Branden Oliver	SD	@KC	0	0	0	0	0	0	14	71	1	0	2	4	0	0	0	0	13
Charles Sims	TB	NO	0	0	0	0	0	0	18	69	1	0	1	6	0	0	0	0	12
Joseph Randle	Dal	@Was	0	0	0	0	0	0	4	69	1	0	1	3	0	0	0	0	12
Justin Forsett	Bal	Cle	0	0	0	0	0	0	17	119	0	0	2	17	0	0	0	0	12
Alfred Blue	Hou	Jac	0	0	0	0	0	0	17	39	1	0	6	37	0	0	0	0	12
Andre Williams	NYG	Phi	0	0	0	0	0	0	15	43	1	0	3	19	0	0	0	0	11
Eddie Lacy	GB	Det	0	0	0	0	0	0	26	100	0	0	3	26	0	0	1	0	11
Mark Ingram	NO	@TB	0	0	0	0	0	0	14	57	1	0	2	4	0	0	0	0	11
Jeremy Hill	Cin	@Pit	0	0	0	0	0	0	23	100	0	0	2	10	0	0	0	0	11
Giovani Bernard	Cin	@Pit	0	0	0	0	0	0	3	8	0	0	7	56	1	0	0	0	11
LeSean McCoy	Phi	@NYG	0	0	0	0	0	0	17	99	0	0	1	15	0	0	0	0	10
Doug Martin	TB	NO	0	0	0	0	0	0	19	108	0	0	0	0	0	0	0	0	10
Le'Veon Bell	Pit	Cin	0	0	0	0	0	0	8	20	0	0	6	80	0	0	0	0	10
Matt Asiata	Min	Chi	0	0	0	0	0	0	19	91	0	0	2	17	0	0	0	0	10
Khiry Robinson	NO	@TB	0	0	0	0	0	0	7	15	1	0	2	22	0	0	0	0	9
Theo Riddick	Det	@GB	0	0	0	0	0	0	0	0	0	0	5	34	1	0	0	0	9
Chris Polk	Phi	@NYG	0	0	0	0	0	0	7	38	1	0	0	0	0	0	0	0	9
Latavius Murray	Oak	@Den	0	0	0	0	0	0	10	37	0	0	4	60	0	0	0	0	9
Shonn Greene	Ten	Ind	0	0	0	0	0	0	11	94	0	0	0	0	0	0	0	0	9
Arian Foster	Hou	Jac	0	0	0	0	0	0	5	23	0	0	1	10	1	0	0	0	9
Chris Ivory	NYJ	@Mia	0	0	0	0	0	0	13	29	0	0	1	8	1	0	0	0	8
Roy Helu	Was	Dal	0	0	0	0	0	0	6	42	0	0	4	41	0	0	0	0	8
Anthony Dixon	Buf	@NE	0	0	0	0	0	0	7	27	1	0	1	8	0	0	0	0	8
Matt Forte	Chi	@Min	0	0	0	0	0	0	17	51	0	0	8	23	0	0	0	0	7
Kerwynn Williams	Ari	@SF	0	0	0	0	0	0	17	67	0	0	0	0	0	0	0	0	6
Robert Turbin	Sea	Stl	0	0	0	0	0	0	11	53	0	0	1	13	0	0	0	0	6
Zurlon Tipton	Ind	@Ten	0	0	0	0	0	0	9	21	0	0	2	45	0	0	0	0	6
Daniel Thomas	Mia	NYJ	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	6
Jonathan Stewart	Car	@Atl	0	0	0	0	0	0	13	49	0	0	2	20	0	0	0	0	6
Jamize Olawale	Oak	@Den	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	6
Dan Herron	Ind	@Ten	0	0	0	0	0	0	10	35	0	0	3	31	0	0	0	0	6
Jonathan Grimes	Hou	Jac	0	0	0	0	0	0	11	45	0	0	2	23	0	0	0	0	6
LeGarrette Blount	NE	Buf	0	0	0	0	0	0	10	62	0	0	0	0	0	0	0	0	6
Joique Bell	Det	@GB	0	0	0	0	0	0	13	60	0	0	0	0	0	0	0	0	6
Jacquizz Rodgers	Atl	Car	0	0	0	0	0	0	9	44	0	0	3	19	0	0	0	0	5
Alfred Morris	Was	Dal	0	0	0	0	0	0	12	43	0	0	2	19	0	0	0	0	5
Rashad Jennings	NYG	Phi	0	0	0	0	0	0	10	33	0	0	3	21	0	0	0	0	5
Fred Jackson	Buf	@NE	0	0	0	0	0	0	18	58	0	0	1	4	0	0	0	0	5
Ronnie Hillman	Den	Oak	0	0	0	0	0	0	15	56	0	0	1	2	0	0	0	0	5
Benny Cunningham	Stl	@Sea	0	0	0	0	0	0	4	10	0	0	7	57	0	0	1	0	5
Jamaal Charles	KC	SD	0	0	0	0	0	0	13	54	0	0	2	8	0	0	0	0	5
Fozzy Whittaker	Car	@Atl	0	0	0	0	0	0	7	41	0	0	0	0	0	0	0	0	4
Tre Mason	Stl	@Sea	0	0	0	0	0	0	11	28	0	0	3	29	0	0	0	0	4
De'Anthony Thomas	KC	SD	0	0	0	0	0	0	1	18	0	0	3	28	0	0	0	0	3
Reggie Bush	Det	@GB	0	0	0	0	0	0	5	19	0	0	3	22	0	0	0	0	3
Donald Brown	SD	@KC	0	0	0	0	0	0	10	39	0	0	1	8	0	0	0	0	3
Joe Banyard	Min	Chi	0	0	0	0	0	0	6	20	0	0	1	11	0	0	0	0	3
Damien Williams	Mia	NYJ	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	2
Stepfan Taylor	Ari	@SF	0	0	0	0	0	0	7	26	0	0	0	0	0	0	0	0	2
James Starks	GB	Det	0	0	0	0	0	0	5	26	0	0	0	0	0	0	0	0	2
Darren Sproles	Phi	@NYG	0	0	0	0	0	0	1	5	0	0	3	23	0	0	0	0	2
Chris Johnson	NYJ	@Mia	0	0	0	0	0	0	10	20	0	0	1	-3	0	0	0	0	2
MarQueis Gray	Buf	@NE	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Knile Davis	KC	SD	0	0	0	0	0	0	9	23	0	0	0	0	0	0	0	0	2
Shane Vereen	NE	Buf	0	0	0	0	0	0	2	1	0	0	3	14	0	0	0	0	1
Mike Tolbert	Car	@Atl	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	1
Zac Stacy	Stl	@Sea	0	0	0	0	0	0	2	3	0	0	3	17	0	0	0	0	1
C.J. Spiller	Buf	@NE	0	0	0	0	0	0	5	17	0	0	1	2	0	0	0	0	1
Trent Richardson	Ind	@Ten	0	0	0	0	0	0	6	11	0	0	1	9	0	0	0	0	1
Darren McFadden	Oak	@Den	0	0	0	0	0	0	4	13	0	0	2	6	0	0	0	0	1
Will Johnson	Pit	Cin	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
Robert Hughes	Ari	@SF	0	0	0	0	0	0	1	5	0	0	1	10	0	0	0	0	1
Devonta Freeman	Atl	Car	0	0	0	0	0	0	6	13	0	0	2	3	0	0	0	0	1
Isaiah Crowell	Cle	@Bal	0	0	0	0	0	0	4	6	0	0	1	16	0	0	0	0	1
Brandon Bolden	NE	Buf	0	0	0	0	0	0	5	15	0	0	0	0	0	0	0	0	1
Dri Archer	Pit	Cin	0	0	0	0	0	0	1	-1	0	0	2	19	0	0	0	0	1
Antonio Andrews	Ten	Ind	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
