   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Eric Decker	NYJ	@Mia	0	0	0	0	0	0	0	0	0	0	10	221	1	0	0	0	28
Michael Floyd	Ari	@SF	0	0	0	0	0	0	0	0	0	0	8	153	2	0	0	0	27
Odell Beckham	NYG	Phi	0	0	0	0	0	0	0	0	0	0	12	185	1	0	0	0	24
Dez Bryant	Dal	@Was	0	0	0	0	0	0	0	0	0	0	4	99	2	0	0	0	21
Andre Johnson	Hou	Jac	0	0	0	0	0	0	0	0	0	0	10	134	1	0	0	0	19
Randall Cobb	GB	Det	0	0	0	0	0	0	2	6	0	0	4	80	2	0	1	0	19
Antonio Brown	Pit	Cin	0	0	0	0	0	0	0	0	0	0	7	128	1	0	0	0	18
Jordan Matthews	Phi	@NYG	0	0	0	0	0	0	0	0	0	0	8	105	1	0	0	0	16
Rueben Randle	NYG	Phi	0	0	0	0	0	0	0	0	0	0	6	158	0	0	0	0	15
Calvin Johnson	Det	@GB	0	0	0	0	0	0	0	0	0	0	4	39	2	0	0	0	15
Torrey Smith	Bal	Cle	0	0	0	0	0	0	0	0	0	0	4	83	1	0	0	0	14
DeSean Jackson	Was	Dal	0	0	0	0	0	0	0	0	0	0	2	86	1	0	0	0	14
Anquan Boldin	SF	Ari	0	0	0	0	0	0	0	0	0	0	2	81	1	0	0	0	14
Adam Thielen	Min	Chi	0	0	0	0	0	0	0	0	0	0	3	68	1	0	0	0	12
Demaryius Thomas	Den	Oak	0	0	0	0	0	0	0	0	0	0	8	115	0	0	0	0	11
Chris Owusu	NYJ	@Mia	0	0	0	0	0	0	1	23	1	0	1	36	0	0	0	0	11
Mike Evans	TB	NO	0	0	0	0	0	0	0	0	0	0	5	54	1	0	0	0	11
Marques Colston	NO	@TB	0	0	0	0	0	0	0	0	0	0	2	51	1	0	0	0	11
Cecil Shorts	Jac	@Hou	1	1	23	1	0	0	0	0	0	0	5	47	0	0	0	0	10
Robert Woods	Buf	@NE	0	0	0	0	0	0	0	0	0	0	4	39	1	0	0	0	9
Roddy White	Atl	Car	0	0	0	0	0	0	0	0	0	0	8	104	0	0	1	0	9
Reggie Wayne	Ind	@Ten	0	0	0	0	0	0	0	0	0	0	2	91	0	0	0	0	9
Steve Smith	Bal	Cle	0	0	0	0	0	0	0	0	0	0	8	90	0	0	0	0	9
Eddie Royal	SD	@KC	0	0	0	0	0	0	0	0	0	0	4	95	0	0	0	0	9
Brian Hartline	Mia	NYJ	0	0	0	0	0	0	0	0	0	0	5	94	0	0	0	0	9
Kenny Stills	NO	@TB	0	0	0	0	0	0	0	0	0	0	5	82	0	0	0	0	8
Jordy Nelson	GB	Det	0	0	0	0	0	0	0	0	0	0	6	86	0	0	0	0	8
Brandon LaFell	NE	Buf	0	0	0	0	0	0	2	13	0	0	4	70	0	0	0	0	8
Jeff Cumberland	NYJ	@Mia	0	0	0	0	0	0	0	0	0	0	2	23	1	0	0	0	8
Martavis Bryant	Pit	Cin	0	0	0	0	0	0	0	0	0	0	1	21	1	0	0	0	8
Kendall Wright	Ten	Ind	0	0	0	0	0	0	1	10	0	0	2	9	1	0	0	0	7
