
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Aaron Rodgers	GB	Chi	27	18	315	6	0	0	0	0	0	0	0	0	0	0	0	0	48
Peyton Manning	Den	@Oak	44	31	340	5	2	0	0	0	0	0	0	0	0	0	0	0	39
Tony Romo	Dal	@Jac	27	20	246	3	0	0	0	0	0	0	0	0	0	0	0	0	27
Mark Sanchez	Phi	Car	37	20	332	2	0	0	2	-1	0	0	0	0	0	0	0	0	25
Drew Brees	NO	SF	47	28	292	3	2	0	2	7	0	0	0	0	0	0	1	0	24
Josh McCown	TB	Atl	43	27	301	2	2	0	5	39	0	0	0	0	0	0	0	0	23
Matthew Stafford	Det	Mia	40	25	280	2	1	0	2	-1	0	0	0	0	0	0	0	0	21
Michael Vick	NYJ	Pit	18	10	132	2	0	0	8	39	0	0	0	0	0	0	0	0	20
Russell Wilson	Sea	NYG	17	10	172	0	2	0	14	107	1	0	0	0	0	0	0	0	18
Cam Newton	Car	@Phi	40	25	306	2	3	0	2	6	0	0	0	0	0	0	1	0	17
Matt Ryan	Atl	@TB	31	20	219	1	0	1	3	9	0	0	0	0	0	0	0	0	16
Kyle Orton	Buf	KC	48	29	259	1	0	0	2	3	0	0	0	0	0	0	0	0	16
Alex Smith	KC	@Buf	29	17	177	0	0	0	4	25	1	0	0	0	0	0	0	0	15
Ben Roethlisberger	Pit	@NYJ	43	30	343	1	2	0	1	0	0	0	0	0	0	0	0	0	15
Colin Kaepernick	SF	@NO	32	14	210	1	0	0	4	24	0	0	0	0	0	0	1	0	15
Derek Carr	Oak	Den	47	30	192	2	2	0	0	0	0	0	0	0	0	0	0	0	15
Eli Manning	NYG	@Sea	44	29	283	1	1	0	0	0	0	0	0	0	0	0	1	0	14
Ryan Tannehill	Mia	@Det	38	27	207	1	1	0	2	0	0	0	0	0	0	0	0	0	12
Joe Flacco	Bal	Ten	27	16	169	1	0	0	3	-2	0	0	0	0	0	0	0	0	12
Zach Mettenberger	Ten	@Bal	27	16	179	1	1	0	0	0	0	0	0	0	0	0	0	0	11
Jay Cutler	Chi	@GB	37	22	272	1	2	0	2	0	0	0	0	0	0	0	1	0	11
Blake Bortles	Jac	Dal	37	22	290	0	1	1	3	3	0	0	0	0	0	0	0	0	11
Drew Stanton	Ari	Stl	5	3	85	1	0	0	2	3	0	0	0	0	0	0	0	0	9
Austin Davis	Stl	@Ari	30	17	216	1	2	0	3	0	0	0	0	0	0	0	1	0	9
Carson Palmer	Ari	Stl	36	25	241	0	1	0	1	1	0	0	0	0	0	0	0	0	7
Brian Hoyer	Cle	@Cin	23	15	198	0	0	0	4	1	0	0	0	0	0	0	0	0	7
Joe Webb	Car	@Phi	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	1
