   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Jimmy Graham	NO	Bal	0	0	0	0	0	0	0	0	0	0	6	47	2	0	0	0	16
Delanie Walker	Ten	@Phi	0	0	0	0	0	0	0	0	0	0	5	155	0	0	0	0	15
Jason Witten	Dal	@NYG	0	0	0	0	0	0	0	0	0	0	4	30	1	0	0	0	9
Anthony Fasano	KC	@Oak	0	0	0	0	0	0	0	0	0	0	2	30	1	0	0	0	9
Cooper Helfet	Sea	Ari	0	0	0	0	0	0	0	0	0	0	2	27	1	0	0	0	8
Scott Chandler	Buf	NYJ	0	0	0	0	0	0	0	0	0	0	3	28	1	0	0	0	8
Rob Gronkowski	NE	Det	0	0	0	0	0	0	0	0	0	0	5	78	0	0	0	0	7
James Casey	Phi	Ten	0	0	0	0	0	0	0	0	0	0	1	14	1	0	0	0	7
Richard Rodgers	GB	@Min	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	6
Adrien Robinson	NYG	Dal	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	6
Travis Kelce	KC	@Oak	0	0	0	0	0	0	0	0	0	0	4	67	0	0	0	0	6
Kyle Rudolph	Min	GB	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	5
Andrew Quarless	GB	@Min	0	0	0	0	0	0	0	0	0	0	2	50	0	0	0	0	5
Garrett Graham	Hou	Cin	0	0	0	0	0	0	0	0	0	0	4	41	0	0	0	0	4
Brent Celek	Phi	Ten	0	0	0	0	0	0	0	0	0	0	5	48	0	0	0	0	4
Dion Sims	Mia	@Den	0	0	0	0	0	0	0	0	0	0	4	31	0	0	0	0	3
Tony Moeaki	Sea	Ari	0	0	0	0	0	0	0	0	0	0	4	34	0	0	0	0	3
Jermaine Gresham	Cin	@Hou	0	0	0	0	0	0	0	0	0	0	4	33	0	0	0	0	3
Ladarius Green	SD	Stl	0	0	0	0	0	0	0	0	0	0	2	34	0	0	0	0	3
Daniel Fells	NYG	Dal	0	0	0	0	0	0	0	0	0	0	3	35	0	0	0	0	3
Zach Ertz	Phi	Ten	0	0	0	0	0	0	0	0	0	0	4	30	0	0	0	0	3
Martellus Bennett	Chi	TB	0	0	0	0	0	0	0	0	0	0	4	37	0	0	0	0	3
Luke Willson	Sea	Ari	0	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	2
Josh Hill	NO	Bal	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	2
James Hanna	Dal	@NYG	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	2
Coby Fleener	Ind	Jac	0	0	0	0	0	0	0	0	0	0	2	28	0	0	0	0	2
Eric Ebron	Det	@NE	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	2
Larry Donnell	NYG	Dal	0	0	0	0	0	0	0	0	0	0	2	24	0	0	0	0	2
Vernon Davis	SF	Was	0	0	0	0	0	0	0	0	0	0	3	21	0	0	0	0	2
Jared Cook	Stl	@SD	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	2
John Carlson	Ari	@Sea	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Gary Barnidge	Cle	@Atl	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	2
Levine Toilolo	Atl	Cle	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	1
Lee Smith	Buf	NYJ	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Austin Seferian-Jenkins	TB	@Chi	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	1
Lance Kendricks	Stl	@SD	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	1
Chris Gragg	Buf	NYJ	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
Antonio Gates	SD	Stl	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	1
Chase Ford	Min	GB	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Rhett Ellison	Min	GB	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
