
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Emmanuel Sanders	Den	SD	0	0	0	0	0	0	1	6	0	0	9	120	3	0	0	0	30
Jeremy Maclin	Phi	@Ari	0	0	0	0	0	0	0	0	0	0	12	187	2	0	0	0	30
Antonio Brown	Pit	Ind	0	0	0	0	0	0	1	5	0	0	10	133	2	0	0	0	25
Larry Fitzgerald	Ari	Phi	0	0	0	0	0	0	0	0	0	0	7	160	1	0	0	0	22
Sammy Watkins	Buf	@NYJ	0	0	0	0	0	0	0	0	0	0	3	157	1	0	0	0	21
Golden Tate	Det	@Atl	0	0	0	0	0	0	0	0	0	0	7	151	1	0	0	0	21
T.Y. Hilton	Ind	@Pit	0	0	0	0	0	0	0	0	0	0	6	155	1	0	0	0	21
Brandin Cooks	NO	GB	0	0	0	0	0	0	1	4	1	0	6	94	1	0	0	0	21
Martavis Bryant	Pit	Ind	0	0	0	0	0	0	0	0	0	0	5	83	2	0	0	0	20
Brandon LaFell	NE	Chi	0	0	0	0	0	0	0	0	0	0	11	124	1	0	0	0	18
Randall Cobb	GB	@NO	0	0	0	0	0	0	0	0	0	0	5	126	1	0	0	0	18
Donte Moncrief	Ind	@Pit	0	0	0	0	0	0	0	0	0	0	7	113	1	0	0	0	17
John Brown	Ari	Phi	0	0	0	0	0	0	0	0	0	0	5	119	1	0	0	0	17
Mohamed Sanu	Cin	Bal	0	0	0	0	0	0	2	27	0	0	5	125	0	0	0	0	14
Allen Robinson	Jac	Mia	0	0	0	0	0	0	0	0	0	0	5	82	1	0	0	0	14
Andrew Hawkins	Cle	Oak	0	0	0	0	0	0	0	0	0	0	7	88	1	0	0	0	14
DeSean Jackson	Was	@Dal	0	0	0	0	0	0	0	0	0	0	6	136	0	0	0	0	13
Keenan Allen	SD	@Den	0	0	0	0	0	0	0	0	0	0	9	73	1	0	0	0	13
Tim Wright	NE	Chi	0	0	0	0	0	0	1	-2	0	0	7	61	1	0	0	0	12
Andre Holmes	Oak	@Cle	0	0	0	0	0	0	0	0	0	0	5	69	1	0	0	0	12
Robert Woods	Buf	@NYJ	0	0	0	0	0	0	0	0	0	0	3	50	1	0	0	0	11
Markus Wheaton	Pit	Ind	0	0	0	0	0	0	0	0	0	0	5	56	1	0	0	0	11
Denard Robinson	Jac	Mia	0	0	0	0	0	0	18	108	0	0	1	10	0	0	0	0	11
Alshon Jeffery	Chi	@NE	0	0	0	0	0	0	0	0	0	0	5	59	1	0	0	0	11
Demaryius Thomas	Den	SD	0	0	0	0	0	0	0	0	0	0	8	105	0	0	0	0	10
Cordarrelle Patterson	Min	@TB	0	0	0	0	0	0	1	10	0	0	6	86	0	0	0	0	9
Greg Jennings	Min	@TB	0	0	0	0	0	0	0	0	0	0	3	38	1	0	0	0	9
Justin Hunter	Ten	Hou	0	0	0	0	0	0	0	0	0	0	4	31	1	0	0	0	9
DeAndre Hopkins	Hou	@Ten	0	0	0	0	0	0	0	0	0	0	5	95	0	0	0	0	9
Dez Bryant	Dal	Was	0	0	0	0	0	0	0	0	0	0	3	30	1	0	0	0	9
Kelvin Benjamin	Car	Sea	0	0	0	0	0	0	0	0	0	0	4	94	0	0	0	0	9
Riley Cooper	Phi	@Ari	0	0	0	0	0	0	0	0	0	0	5	88	0	0	0	0	8
Mike Evans	TB	Min	0	0	0	0	0	0	0	0	0	0	4	78	0	0	0	0	7
Davante Adams	GB	@NO	0	0	0	0	0	0	0	0	0	0	7	75	0	0	0	0	7
Terrance Williams	Dal	Was	0	0	0	0	0	0	0	0	0	0	6	69	0	0	0	0	6
Roddy White	Atl	Det	0	0	0	0	0	0	0	0	0	0	5	66	0	0	0	0	6
Nate Washington	Ten	Hou	0	0	0	0	0	0	0	0	0	0	4	68	0	0	0	0	6
Rishard Matthews	Mia	@Jac	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	6
James Jones	Oak	@Cle	0	0	0	0	0	0	0	0	0	0	6	62	0	0	0	0	6
Taylor Gabriel	Cle	Oak	0	0	0	0	0	0	0	0	0	0	2	60	0	0	0	0	6
Dwayne Bowe	KC	Stl	0	0	0	0	0	0	0	0	0	0	6	64	0	0	0	0	6
Doug Baldwin	Sea	@Car	0	0	0	0	0	0	0	0	0	0	6	61	0	0	0	0	6
Kendall Wright	Ten	Hou	0	0	0	0	0	0	0	0	0	0	3	53	0	0	0	0	5
Mike Wallace	Mia	@Jac	0	0	0	0	0	0	0	0	0	0	2	59	0	0	0	0	5
Kenny Stills	NO	GB	0	0	0	0	0	0	0	0	0	0	4	57	0	0	0	0	5
Julio Jones	Atl	Det	0	0	0	0	0	0	0	0	0	0	4	58	0	0	0	0	5
Andre Johnson	Hou	@Ten	0	0	0	0	0	0	0	0	0	0	7	55	0	0	0	0	5
Malcom Floyd	SD	@Den	0	0	0	0	0	0	0	0	0	0	4	58	0	0	0	0	5
Kenny Britt	Stl	@KC	0	0	0	0	0	0	0	0	0	0	2	52	0	0	0	0	5
Cecil Shorts	Jac	Mia	0	0	0	0	0	0	0	0	0	0	3	41	0	0	0	0	4
Jordan Matthews	Phi	@Ari	0	0	0	0	0	0	0	0	0	0	6	47	0	0	0	0	4
Greg Little	Cin	Bal	0	0	0	0	0	0	0	0	0	0	3	42	0	0	0	0	4
Allen Hurns	Jac	Mia	0	0	0	0	0	0	0	0	0	0	3	49	0	0	0	0	4
Percy Harvin	NYJ	Buf	0	0	0	0	0	0	4	28	0	0	3	22	0	0	0	0	4
Pierre Garcon	Was	@Dal	0	0	0	0	0	0	0	0	0	0	4	47	0	0	0	0	4
Corey Fuller	Det	@Atl	0	0	0	0	0	0	0	0	0	0	3	43	0	0	0	0	4
Harry Douglas	Atl	Det	0	0	0	0	0	0	0	0	0	0	3	42	0	0	0	0	4
Eric Decker	NYJ	Buf	0	0	0	0	0	0	0	0	0	0	7	40	0	0	0	0	4
Marques Colston	NO	GB	0	0	0	0	0	0	0	0	0	0	4	49	0	0	0	0	4
Michael Campanaro	Bal	@Cin	0	0	0	0	0	0	0	0	0	0	3	40	0	0	0	0	4
Kenbrell Thompkins	Oak	@Cle	0	0	0	0	0	0	1	7	0	0	4	34	0	0	0	0	3
Brandon Tate	Cin	Bal	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	0	3
Steve Smith	Bal	@Cin	0	0	0	0	0	0	0	0	0	0	3	35	0	0	0	0	3
Jeremy Ross	Det	@Atl	0	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	3
Marcel Reece	Oak	@Cle	0	0	0	0	0	0	0	0	0	0	5	34	0	0	0	0	3
Lance Moore	Pit	Ind	0	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	3
Brandon Marshall	Chi	@NE	0	0	0	0	0	0	0	0	0	0	3	35	0	0	0	0	3
Damaris Johnson	Hou	@Ten	0	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	3
Jerricho Cotchery	Car	Sea	0	0	0	0	0	0	0	0	0	0	3	33	0	0	0	0	3
Stedman Bailey	Stl	@KC	0	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	3
Miles Austin	Cle	Oak	0	0	0	0	0	0	0	0	0	0	2	34	0	0	0	0	3
Griff Whalen	Ind	@Pit	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	2
Eddie Royal	SD	@Den	0	0	0	0	0	0	0	0	0	0	3	29	0	0	0	0	2
Paul Richardson	Sea	@Car	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	2
Niles Paul	Was	@Dal	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	2
Hakeem Nicks	Ind	@Pit	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	2
Jordy Nelson	GB	@NO	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Ricardo Lockette	Sea	@Car	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	2
Jarvis Landry	Mia	@Jac	0	0	0	0	0	0	1	4	0	0	3	23	0	0	0	0	2
Jeremy Kerley	NYJ	Buf	0	0	0	0	0	0	0	0	0	0	2	25	0	0	0	0	2
Jarius Wright	Min	@TB	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1
Andre Roberts	Was	@Dal	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
Brian Quick	Stl	@KC	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
Kevin Norwood	Sea	@Car	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1
Louis Murphy	TB	Min	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
Jermaine Kearse	Sea	@Car	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	1
Charles Johnson	Min	@TB	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
Vincent Jackson	TB	Min	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Chris Hogan	Buf	@NYJ	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Brian Hartline	Mia	@Jac	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	1
Chris Givens	Stl	@KC	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Julian Edelman	NE	Chi	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Cole Beasley	Dal	Was	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
