   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Jared Cook	Stl	@Was	0	0	0	0	0	0	0	0	0	0	4	61	2	0	0	0	18
Mychal Rivera	Oak	SF	0	0	0	0	0	0	0	0	0	0	7	109	1	0	0	0	16
Rob Gronkowski	NE	@SD	0	0	0	0	0	0	0	0	0	0	8	87	1	0	0	0	14
Martellus Bennett	Chi	Dal	0	0	0	0	0	0	0	0	0	0	12	84	1	0	0	0	14
Greg Olsen	Car	@NO	0	0	0	0	0	0	0	0	0	0	10	72	1	0	0	0	13
Travis Kelce	KC	@Ari	0	0	0	0	0	0	0	0	0	0	7	110	0	0	1	0	10
Zach Ertz	Phi	Sea	0	0	0	0	0	0	0	0	0	0	2	39	1	0	0	0	9
Heath Miller	Pit	@Cin	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	8
Jermaine Gresham	Cin	Pit	0	0	0	0	0	0	0	0	0	0	3	23	1	0	0	0	8
Scott Chandler	Buf	@Den	0	0	0	0	0	0	0	0	0	0	8	81	0	0	0	0	8
Joseph Fauria	Det	TB	0	0	0	0	0	0	0	0	0	0	2	17	1	0	0	0	7
Ben Watson	NO	Car	0	0	0	0	0	0	0	0	0	0	2	8	1	0	0	0	6
Marcedes Lewis	Jac	Hou	0	0	0	0	0	0	0	0	0	0	3	69	0	0	0	0	6
Gavin Escobar	Dal	@Chi	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	6
Andrew Quarless	GB	Atl	0	0	0	0	0	0	0	0	0	0	3	52	0	0	0	0	5
Coby Fleener	Ind	@Cle	0	0	0	0	0	0	0	0	0	0	5	56	0	0	0	0	5
Charles Clay	Mia	Bal	0	0	0	0	0	0	0	0	0	0	2	41	0	0	0	0	4
Jordan Cameron	Cle	Ind	0	0	0	0	0	0	0	0	0	0	4	41	0	0	0	0	4
Antonio Gates	SD	NE	0	0	0	0	0	0	0	0	0	0	5	34	0	0	0	0	3
Jason Witten	Dal	@Chi	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0	2
Delanie Walker	Ten	NYG	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	0	2
Phillip Supernaw	Bal	@Mia	0	0	0	0	0	0	0	0	0	0	1	29	0	0	0	0	2
Jordan Reed	Was	Stl	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Rob Housler	Ari	KC	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	2
Cory Harkey	Stl	@Was	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
Ryan Griffin	Hou	@Jac	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	2
Jimmy Graham	NO	Car	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Eric Ebron	Det	TB	0	0	0	0	0	0	0	0	0	0	3	28	0	0	0	0	2
Larry Donnell	NYG	@Ten	0	0	0	0	0	0	0	0	0	0	4	28	0	0	0	0	2
Vernon Davis	SF	@Oak	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0	2
Owen Daniels	Bal	@Mia	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0	0	2
Garrett Celek	SF	@Oak	0	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0	2
John Carlson	Ari	KC	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2
Matt Spaeth	Pit	@Cin	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1
Dion Sims	Mia	Bal	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
Tony Moeaki	Sea	@Phi	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1
Lance Kendricks	Stl	@Was	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
Ladarius Green	SD	NE	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	1
Ed Dickson	Car	@NO	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
Kevin Brock	Cin	Pit	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
