   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Calvin Johnson	Det	NYG	0	0	0	0	0	0	0	0	0	0	7	164	2	0	0	0	28
Allen Hurns	Jac	@Phi	0	0	0	0	0	0	0	0	0	0	4	110	2	0	0	0	23
A.J. Green	Cin	@Bal	0	0	0	0	0	0	1	5	0	0	6	131	1	0	0	0	19
Cordarrelle Patterson	Min	@Stl	0	0	0	0	0	0	3	102	1	0	3	26	0	0	0	0	18
Steve Smith	Bal	Cin	0	0	0	0	0	0	0	0	0	0	7	118	1	0	0	0	17
Antonio Brown	Pit	Cle	0	0	0	0	0	0	0	0	0	0	5	116	1	0	0	0	17
Jeremy Maclin	Phi	Jac	0	0	0	0	0	0	0	0	0	0	4	97	1	0	0	0	15
Kelvin Benjamin	Car	@TB	0	0	0	0	0	0	0	0	0	0	6	92	1	0	0	0	15
DeAndre Hopkins	Hou	Was	0	0	0	0	0	0	0	0	0	0	4	89	1	0	0	0	14
Brandin Cooks	NO	@Atl	0	0	0	0	0	0	1	18	0	0	7	77	1	0	0	0	14
Roddy White	Atl	NO	0	0	0	0	0	0	0	0	0	0	5	72	1	0	0	0	13
Mike Wallace	Mia	NE	0	0	0	0	0	0	0	0	0	0	7	81	1	0	1	0	13
Brandon Marshall	Chi	Buf	0	0	0	0	0	0	0	0	0	0	8	71	1	0	1	0	12
Terrance Williams	Dal	SF	0	0	0	0	0	0	0	0	0	0	4	50	1	0	0	0	11
Greg Jennings	Min	@Stl	0	0	0	0	0	0	0	0	0	0	6	58	1	0	0	0	11
Michael Floyd	Ari	SD	0	0	0	0	0	0	1	2	0	0	5	119	0	0	0	0	11
Malcom Floyd	SD	@Ari	0	0	0	0	0	0	0	0	0	0	4	50	1	0	0	0	11
Julian Edelman	NE	@Mia	0	0	0	0	0	0	2	21	0	0	6	95	0	0	0	0	11
