
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Marshawn Lynch	Sea	GB	0	0	0	0	0	0	20	110	2	0	1	14	0	0	0	0	24
Le'Veon Bell	Pit	Cle	0	0	0	0	0	0	21	109	1	0	6	88	0	0	0	0	24
Knowshon Moreno	Mia	NE	0	0	0	0	0	0	24	134	1	0	0	0	0	0	0	0	19
DeMarco Murray	Dal	SF	0	0	0	0	0	0	22	118	1	0	3	25	0	0	1	0	18
Mark Ingram	NO	@Atl	0	0	0	0	0	0	13	60	2	0	1	1	0	0	0	0	18
Chris Ivory	NYJ	Oak	0	0	0	0	0	0	10	102	1	0	0	0	0	0	0	0	16
Matt Forte	Chi	Buf	0	0	0	0	0	0	17	82	0	0	8	87	0	0	0	0	16
Rashad Jennings	NYG	@Det	0	0	0	0	0	0	16	46	1	0	4	50	0	0	0	0	15
Isaiah Crowell	Cle	@Pit	0	0	0	0	0	0	5	32	2	0	0	0	0	0	0	0	15
Darren Sproles	Phi	Jac	0	0	0	0	0	0	11	71	1	0	4	14	0	0	0	0	14
Chris Johnson	NYJ	Oak	0	0	0	0	0	0	13	68	0	0	5	23	1	0	0	0	14
Justin Forsett	Bal	Cin	0	0	0	0	0	0	11	70	1	0	5	14	0	0	0	0	14
Montee Ball	Den	Ind	0	0	0	0	0	0	23	67	1	0	2	16	0	0	0	0	13
Shane Vereen	NE	@Mia	0	0	0	0	0	0	7	36	1	0	5	35	0	0	0	0	12
C.J. Spiller	Buf	@Chi	0	0	0	0	0	0	15	53	0	0	3	11	1	0	0	0	12
Ryan Mathews	SD	@Ari	0	0	0	0	0	0	12	40	1	0	2	20	0	0	0	0	12
Antone Smith	Atl	NO	0	0	0	0	0	0	2	7	0	0	1	54	1	0	0	0	11
Lamar Miller	Mia	NE	0	0	0	0	0	0	11	59	0	0	4	19	1	0	1	0	11
