
Team	Opp	Sack	Int	Saf	FR	Blk	TD	PA	PassYds	RushYds	TotYds	Pts*
Philadelphia Eagles	@SF	4.0	1	0	0	1	3	26	189	218	407	27
Miami Dolphins	@Oak	2.0	3	0	1	0	1	14	264	53	317	20
Kansas City Chiefs	NE	3.0	2	0	1	0	1	14	215	75	290	19
New York Giants	@Was	2.0	4	0	2	0	0	14	243	86	329	18
Houston Texans	Buf	2.0	2	0	0	0	1	17	220	96	316	16
Indianapolis Colts	Ten	3.0	2	0	1	0	0	17	176	85	261	13
San Diego Chargers	Jac	3.0	2	0	1	0	0	14	235	85	320	13
Dallas Cowboys	NO	2.0	1	0	2	0	0	17	334	104	438	12
Baltimore Ravens	Car	2.0	0	0	1	0	0	10	248	67	315	11
Buffalo Bills	@Hou	3.0	2	0	1	0	0	23	264	37	301	10
Detroit Lions	@NYJ	2.0	1	0	1	0	0	17	204	132	336	10
San Francisco 49ers	Phi	1.0	2	0	2	0	0	21	191	22	213	10
Green Bay Packers	@Chi	1.0	2	0	0	0	0	17	261	235	496	9
Tampa Bay Buccaneers	@Pit	5.0	0	0	1	0	0	24	305	85	390	8
Oakland Raiders	Mia	0.0	1	0	2	0	0	38	278	157	435	6
Minnesota Vikings	Atl	1.0	2	0	0	0	0	28	288	123	411	5
New York Jets	Det	4.0	0	0	0	0	0	24	272	88	360	5
Pittsburgh Steelers	TB	1.0	1	0	0	0	0	27	287	63	350	4
Chicago Bears	GB	1.0	0	0	0	1	0	38	302	56	358	3
Washington Redskins	NYG	1.0	1	0	0	0	0	45	295	154	449	3
Jacksonville Jaguars	@SD	2.0	0	0	0	0	0	33	365	42	407	2
New England Patriots	@KC	2.0	0	0	0	0	0	41	236	207	443	2
Tennessee Titans	@Ind	0.0	1	0	0	0	0	41	393	105	498	2
New Orleans Saints	@Dal	1.0	0	0	0	0	0	38	255	190	445	1
Atlanta Falcons	@Min	0.0	0	0	0	0	0	41	317	241	558	0
Carolina Panthers	@Bal	0.0	0	0	0	0	0	38	327	127	454	0
