
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Jamaal Charles	KC	NE	0	0	0	0	0	0	18	92	1	0	3	16	2	0	0	0	28
Matt Asiata	Min	Atl	0	0	0	0	0	0	20	78	3	0	3	22	0	0	0	0	27
DeMarco Murray	Dal	NO	0	0	0	0	0	0	24	149	2	0	1	6	0	0	0	0	26
Frank Gore	SF	Phi	0	0	0	0	0	0	24	119	0	0	1	55	1	0	0	0	22
Lamar Miller	Mia	@Oak	0	0	0	0	0	0	12	64	2	0	2	3	0	0	1	0	17
Matt Forte	Chi	GB	0	0	0	0	0	0	23	122	0	0	5	49	0	0	0	0	16
Trent Richardson	Ind	Ten	0	0	0	0	0	0	20	47	1	0	4	52	0	0	0	0	15
Justin Forsett	Bal	Car	0	0	0	0	0	0	14	66	1	0	3	31	0	0	0	0	15
Alfred Morris	Was	NYG	0	0	0	0	0	0	12	63	1	0	3	27	0	0	0	0	14
Jerick McKinnon	Min	Atl	0	0	0	0	0	0	18	135	0	0	1	17	0	0	0	0	14
Andre Williams	NYG	@Was	0	0	0	0	0	0	15	66	1	0	0	0	0	0	0	0	12
Antone Smith	Atl	@Min	0	0	0	0	0	0	4	62	1	0	0	0	0	0	0	0	12
Lorenzo Taliaferro	Bal	Car	0	0	0	0	0	0	15	58	1	0	0	0	0	0	0	0	11
Bishop Sankey	Ten	@Ind	0	0	0	0	0	0	6	34	1	0	2	23	0	0	0	0	11
Doug Martin	TB	@Pit	0	0	0	0	0	0	13	40	1	0	2	16	0	0	0	0	11
Eddie Lacy	GB	@Chi	0	0	0	0	0	0	17	48	1	0	1	11	0	0	0	0	11
Chris Johnson	NYJ	Det	0	0	0	0	0	0	6	44	1	0	2	17	0	0	0	0	11
Knile Davis	KC	NE	0	0	0	0	0	0	16	107	0	0	1	12	0	0	0	0	11
Ahmad Bradshaw	Ind	Ten	0	0	0	0	0	0	9	32	0	0	2	20	1	0	0	0	11
Le'Veon Bell	Pit	TB	0	0	0	0	0	0	19	63	0	0	6	46	0	0	0	0	10
Khiry Robinson	NO	@Dal	0	0	0	0	0	0	8	87	0	0	2	18	0	0	0	0	9
Chris Ivory	NYJ	Det	0	0	0	0	0	0	17	84	0	0	2	16	0	0	0	0	9
C.J. Spiller	Buf	@Hou	0	0	0	0	0	0	15	60	0	0	3	24	0	0	0	0	8
Fred Jackson	Buf	@Hou	0	0	0	0	0	0	7	33	0	0	6	52	0	0	0	0	8
Toby Gerhart	Jac	@SD	0	0	0	0	0	0	10	32	1	0	1	8	0	0	1	0	8
Darren McFadden	Oak	Mia	0	0	0	0	0	0	11	40	0	0	4	32	0	0	0	0	7
Roy Helu	Was	NYG	0	0	0	0	0	0	2	8	0	0	5	78	0	0	0	0	7
Ka'Deem Carey	Chi	GB	0	0	0	0	0	0	14	72	0	0	0	0	0	0	0	0	7
Shane Vereen	NE	@KC	0	0	0	0	0	0	8	26	0	0	5	41	0	0	0	0	6
Patrick DiMarco	Atl	@Min	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	6
Daniel Thomas	Mia	@Oak	0	0	0	0	0	0	5	35	0	0	1	25	0	0	0	0	5
Branden Oliver	SD	Jac	0	0	0	0	0	0	9	23	0	0	4	33	0	0	0	0	5
Rashad Jennings	NYG	@Was	0	0	0	0	0	0	13	55	0	0	1	-3	0	0	0	0	5
Steven Jackson	Atl	@Min	0	0	0	0	0	0	13	49	0	0	2	13	0	0	0	0	5
Arian Foster	Hou	Buf	0	0	0	0	0	0	8	6	0	0	7	55	0	0	0	0	5
Reggie Bush	Det	@NYJ	0	0	0	0	0	0	12	46	0	0	4	19	0	0	0	0	5
Travaris Cadet	NO	@Dal	0	0	0	0	0	0	1	1	0	0	6	59	0	0	1	0	4
Donald Brown	SD	Jac	0	0	0	0	0	0	10	19	0	0	4	35	0	0	0	0	4
DeAngelo Williams	Car	@Bal	0	0	0	0	0	0	11	34	0	0	0	0	0	0	0	0	3
James White	NE	@KC	0	0	0	0	0	0	3	21	0	0	3	15	0	0	0	0	3
Jacquizz Rodgers	Atl	@Min	0	0	0	0	0	0	1	2	0	0	4	35	0	0	0	0	3
Darrin Reaves	Car	@Bal	0	0	0	0	0	0	12	26	0	0	3	11	0	0	0	0	3
Peyton Hillis	NYG	@Was	0	0	0	0	0	0	8	31	0	0	0	0	0	0	0	0	3
Lance Dunbar	Dal	NO	0	0	0	0	0	0	0	0	0	0	2	36	0	0	0	0	3
Joique Bell	Det	@NYJ	0	0	0	0	0	0	8	32	0	0	2	7	0	0	0	0	3
Damien Williams	Mia	@Oak	0	0	0	0	0	0	6	23	0	0	0	0	0	0	0	0	2
Jordan Todman	Jac	@SD	0	0	0	0	0	0	1	4	0	0	2	20	0	0	0	0	2
Stevan Ridley	NE	@KC	0	0	0	0	0	0	5	28	0	0	0	0	0	0	0	0	2
Joseph Randle	Dal	NO	0	0	0	0	0	0	4	22	0	0	0	0	0	0	0	0	2
Jay Prosch	Hou	Buf	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	2
Carlos Hyde	SF	Phi	0	0	0	0	0	0	10	26	0	0	0	0	0	0	0	0	2
Dan Herron	Ind	Ten	0	0	0	0	0	0	7	24	0	0	0	0	0	0	0	0	2
LeGarrette Blount	Pit	TB	0	0	0	0	0	0	4	25	0	0	0	0	0	0	0	0	2
Pierre Thomas	NO	@Dal	0	0	0	0	0	0	2	8	0	0	2	15	0	0	0	0	1
Bobby Rainey	TB	@Pit	1	0	0	0	0	0	4	2	0	0	1	16	0	0	0	0	1
LeSean McCoy	Phi	@SF	0	0	0	0	0	0	10	17	0	0	0	0	0	0	0	0	1
Shonn Greene	Ten	@Ind	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	1
Devonta Freeman	Atl	@Min	0	0	0	0	0	0	2	8	0	0	2	12	0	0	0	0	1
Alfred Blue	Hou	Buf	0	0	0	0	0	0	9	9	0	0	2	16	0	0	0	0	1
