
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Steve Smith	Bal	Car	0	0	0	0	0	0	0	0	0	0	7	139	2	0	0	0	25
Antonio Brown	Pit	TB	1	1	17	0	0	0	0	0	0	0	7	131	2	0	0	0	25
Randall Cobb	GB	@Chi	0	0	0	0	0	0	0	0	0	0	7	113	2	0	0	0	23
Eddie Royal	SD	Jac	0	0	0	0	0	0	0	0	0	0	5	105	2	0	0	0	22
Jordy Nelson	GB	@Chi	0	0	0	0	0	0	0	0	0	0	10	108	2	0	0	0	22
Terrance Williams	Dal	NO	0	0	0	0	0	0	0	0	0	0	6	77	2	0	0	0	19
Reggie Wayne	Ind	Ten	0	0	0	0	0	0	0	0	0	0	7	119	1	0	0	0	17
Brandon LaFell	NE	@KC	0	0	0	0	0	0	0	0	0	0	6	119	1	0	0	0	17
Mike Williams	Buf	@Hou	0	0	0	0	0	0	0	0	0	0	2	84	1	0	0	0	14
Jarius Wright	Min	Atl	0	0	0	0	0	0	0	0	0	0	8	132	0	0	0	0	13
Roddy White	Atl	@Min	0	0	0	0	0	0	0	0	0	0	4	73	1	0	0	0	13
Andre Holmes	Oak	Mia	0	0	0	0	0	0	0	0	0	0	5	74	1	0	0	0	13
Kelvin Benjamin	Car	@Bal	0	0	0	0	0	0	0	0	0	0	5	76	1	0	0	0	13
Keenan Allen	SD	Jac	0	0	0	0	0	0	0	0	0	0	10	135	0	0	0	0	13
Jeremy Ross	Det	@NYJ	0	0	0	0	0	0	0	0	0	0	2	65	1	0	0	0	12
DeAndre Hopkins	Hou	Buf	0	0	0	0	0	0	0	0	0	0	5	64	1	0	0	0	12
Mike Evans	TB	@Pit	0	0	0	0	0	0	0	0	0	0	4	65	1	0	0	0	12
Golden Tate	Det	@NYJ	0	0	0	0	0	0	0	0	0	0	8	116	0	0	0	0	11
