
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Rob Gronkowski	NE	Den	0	0	0	0	0	0	0	0	0	0	9	105	1	0	0	0	16
Mychal Rivera	Oak	@Sea	0	0	0	0	0	0	0	0	0	0	8	38	2	0	0	0	15
Jimmy Graham	NO	@Car	0	0	0	0	0	0	0	0	0	0	7	83	1	0	0	0	14
Coby Fleener	Ind	@NYG	0	0	0	0	0	0	0	0	0	0	4	77	1	0	0	0	13
Travis Kelce	KC	NYJ	0	0	0	0	0	0	0	0	0	0	4	67	1	0	0	0	12
Chase Ford	Min	Was	0	0	0	0	0	0	0	0	0	0	5	66	1	0	0	0	12
Charles Clay	Mia	SD	0	0	0	0	0	0	0	0	0	0	5	65	1	0	0	0	12
Matt Spaeth	Pit	Bal	0	0	0	0	0	0	0	0	0	0	1	33	1	1	0	0	11
Dwayne Allen	Ind	@NYG	0	0	0	0	0	0	0	0	0	0	4	48	1	0	0	0	10
Julius Thomas	Den	@NE	0	0	0	0	0	0	0	0	0	0	2	33	1	0	0	0	9
Anthony Fasano	KC	NYJ	0	0	0	0	0	0	0	0	0	0	3	24	1	0	0	0	8
Larry Donnell	NYG	Ind	0	0	0	0	0	0	0	0	0	0	4	25	1	0	0	0	8
John Carlson	Ari	@Dal	0	0	0	0	0	0	0	0	0	0	2	19	1	0	0	0	7
Jason Witten	Dal	Ari	0	0	0	0	0	0	0	0	0	0	6	62	0	0	0	0	6
Crockett Gillmore	Bal	@Pit	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	6
Owen Daniels	Bal	@Pit	0	0	0	0	0	0	0	0	0	0	6	53	0	0	0	0	5
Greg Olsen	Car	NO	0	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0	3
Jermaine Gresham	Cin	Jac	0	0	0	0	0	0	0	0	0	0	5	36	0	0	0	0	3
Rhett Ellison	Min	Was	0	0	0	0	0	0	0	0	0	0	4	30	0	0	0	0	3
Antonio Gates	SD	@Mia	0	0	0	0	0	0	0	0	0	0	3	28	0	0	0	0	2
Jim Dray	Cle	TB	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	2
Luke Willson	Sea	Oak	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	1
Jacob Tamme	Den	@NE	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
Jordan Reed	Was	@Min	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	1
Heath Miller	Pit	Bal	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Harold Hoskins	Mia	SD	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Vernon Davis	SF	Stl	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0	1
Jared Cook	Stl	@SF	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	1
Gary Barnidge	Cle	TB	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	1
