   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Jeremy Maclin	Phi	@Hou	0	0	0	0	0	0	0	0	0	0	6	158	2	0	0	0	27
Mike Evans	TB	@Cle	0	0	0	0	0	0	0	0	0	0	7	124	2	0	0	0	24
Allen Hurns	Jac	@Cin	0	0	0	0	0	0	0	0	0	0	7	112	2	0	0	0	23
Antonio Brown	Pit	Bal	0	0	0	0	0	0	0	0	0	0	11	144	1	0	0	0	20
DeSean Jackson	Was	@Min	0	0	0	0	0	0	0	0	0	0	4	120	1	0	0	0	18
DeAndre Hopkins	Hou	Phi	0	0	0	0	0	0	0	0	0	0	6	115	1	0	0	0	17
Denard Robinson	Jac	@Cin	0	0	0	0	0	0	17	94	1	0	2	10	0	0	0	0	16
Martavis Bryant	Pit	Bal	0	0	0	0	0	0	1	3	0	0	3	44	2	0	0	0	16
Mohamed Sanu	Cin	Jac	0	0	0	0	0	0	1	9	0	0	4	95	1	0	0	0	15
Emmanuel Sanders	Den	@NE	0	0	0	0	0	0	0	0	0	0	10	151	0	0	0	0	15
Anquan Boldin	SF	Stl	0	0	0	0	0	0	0	0	0	0	6	93	1	0	0	0	15
Odell Beckham	NYG	Ind	0	0	0	0	0	0	0	0	0	0	8	156	0	0	0	0	15
Taylor Gabriel	Cle	TB	0	0	0	0	0	0	0	0	0	0	5	87	1	0	0	0	14
Julian Edelman	NE	Den	0	0	0	0	0	0	0	0	0	0	9	89	1	0	0	0	14
Reggie Wayne	Ind	@NYG	0	0	0	0	0	0	0	0	0	0	4	70	1	0	0	0	13
T.Y. Hilton	Ind	@NYG	0	0	0	0	0	0	0	0	0	0	3	71	1	0	0	0	13
Markus Wheaton	Pit	Bal	0	0	0	0	0	0	1	4	0	0	2	62	1	0	0	0	12
Demaryius Thomas	Den	@NE	0	0	0	0	0	0	0	0	0	0	7	127	0	0	0	0	12
Torrey Smith	Bal	@Pit	0	0	0	0	0	0	0	0	0	0	4	63	1	0	0	0	12
Percy Harvin	NYJ	@KC	0	0	0	0	0	0	1	8	0	0	11	129	0	0	0	0	12
Eric Decker	NYJ	@KC	0	0	0	0	0	0	0	0	0	0	9	63	1	0	0	0	12
Brandon LaFell	NE	Den	0	0	0	0	0	0	0	0	0	0	6	53	1	0	0	0	11
Corey Washington	NYG	Ind	0	0	0	0	0	0	0	0	0	0	4	48	1	0	0	0	10
Jordan Matthews	Phi	@Hou	0	0	0	0	0	0	0	0	0	0	3	40	1	0	0	0	10
Jarvis Landry	Mia	SD	0	0	0	0	0	0	0	0	0	0	5	46	1	0	0	0	10
A.J. Green	Cin	Jac	0	0	0	0	0	0	1	-3	0	0	3	44	1	0	0	0	10
Kenny Britt	Stl	@SF	0	0	0	0	0	0	0	0	0	0	2	32	1	0	0	0	9
Rishard Matthews	Mia	SD	0	0	0	0	0	0	0	0	0	0	1	21	1	0	0	0	8
Vincent Jackson	TB	@Cle	0	0	0	0	0	0	0	0	0	0	6	86	0	0	0	0	8
Kenny Stills	NO	@Car	0	0	0	0	0	0	0	0	0	0	5	72	0	0	0	0	7
Greg Jennings	Min	Was	0	0	0	0	0	0	0	0	0	0	6	76	0	0	0	0	7
Larry Fitzgerald	Ari	@Dal	0	0	0	0	0	0	0	0	0	0	5	70	0	0	0	0	7
Dez Bryant	Dal	Ari	0	0	0	0	0	0	0	0	0	0	2	15	1	0	0	0	7
Jaron Brown	Ari	@Dal	0	0	0	0	0	0	0	0	0	0	2	15	1	0	0	0	7
Malcom Floyd	SD	@Mia	0	0	0	0	0	0	0	0	0	0	4	60	0	0	0	0	6
Mike Wallace	Mia	SD	1	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	5
Brian Hartline	Mia	SD	0	0	0	0	0	0	0	0	0	0	5	50	0	0	0	0	5
Jerricho Cotchery	Car	NO	0	0	0	0	0	0	0	0	0	0	2	59	0	0	0	0	5
Dwayne Bowe	KC	NYJ	0	0	0	0	0	0	0	0	0	0	6	55	0	0	0	0	5
Travis Benjamin	Cle	TB	0	0	0	0	0	0	0	0	0	0	2	52	0	0	0	0	5
Miles Austin	Cle	TB	0	0	0	0	0	0	0	0	0	0	3	54	0	0	0	0	5
Cecil Shorts	Jac	@Cin	0	0	0	0	0	0	0	0	0	0	5	40	0	0	0	0	4
Rueben Randle	NYG	Ind	0	0	0	0	0	0	0	0	0	0	4	49	0	0	0	0	4
Hakeem Nicks	Ind	@NYG	0	0	0	0	0	0	0	0	0	0	3	44	0	0	0	0	4
Steve Johnson	SF	Stl	0	0	0	0	0	0	0	0	0	0	3	41	0	0	0	0	4
Ted Ginn Jr.	Ari	@Dal	0	0	0	0	0	0	0	0	0	0	2	42	0	0	0	0	4
Michael Crabtree	SF	Stl	0	0	0	0	0	0	0	0	0	0	5	40	0	0	0	0	4
Keenan Allen	SD	@Mia	0	0	0	0	0	0	0	0	0	0	4	47	0	0	0	0	4
Wes Welker	Den	@NE	0	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	3
Steve Smith	Bal	@Pit	0	0	0	0	0	0	0	0	0	0	5	36	0	0	0	0	3
Allen Robinson	Jac	@Cin	0	0	0	0	0	0	0	0	0	0	4	35	0	0	0	0	3
Andrew Hawkins	Cle	TB	0	0	0	0	0	0	0	0	0	0	3	34	0	0	0	0	3
Michael Floyd	Ari	@Dal	0	0	0	0	0	0	0	0	0	0	4	36	0	0	0	0	3
Brandin Cooks	NO	@Car	0	0	0	0	0	0	0	0	0	0	3	38	0	0	0	0	3
Marques Colston	NO	@Car	0	0	0	0	0	0	0	0	0	0	3	36	0	0	0	0	3
Doug Baldwin	Sea	Oak	0	0	0	0	0	0	0	0	0	0	5	38	0	0	0	0	3
Danny Amendola	NE	Den	0	0	0	0	0	0	0	0	0	0	2	35	0	0	0	0	3
Jarius Wright	Min	Was	0	0	0	0	0	0	0	0	0	0	2	29	0	0	0	0	2
Marcel Reece	Oak	@Sea	0	0	0	0	0	0	1	10	0	0	1	12	0	0	0	0	2
Robert Meachem	NO	@Car	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	2
Josh Huff	Phi	@Hou	0	0	0	0	0	0	0	0	0	0	3	26	0	0	0	0	2
Andre Holmes	Oak	@Sea	0	0	0	0	0	0	0	0	0	0	2	28	0	0	0	0	2
Riley Cooper	Phi	@Hou	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0	2
Brice Butler	Oak	@Sea	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	2
Marlon Brown	Bal	@Pit	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	2
James Wright	Cin	Jac	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	1
Albert Wilson	KC	NYJ	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Terrance Williams	Dal	Ari	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0	1
Brandon Tate	Cin	Jac	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
Andre Roberts	Was	@Min	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
Paul Richardson	Sea	Oak	0	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	1
Niles Paul	Was	@Min	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
Kevin Norwood	Sea	Oak	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	1
Louis Murphy	TB	@Cle	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1
Jeff Maehl	Phi	@Hou	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1
Brandon Lloyd	SF	Stl	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
Jeremy Kerley	NYJ	@KC	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
James Jones	Oak	@Sea	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0	1
Damaris Johnson	Hou	Phi	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	1
Charles Johnson	Min	Was	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Andre Johnson	Hou	Phi	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	1
A.J. Jenkins	KC	NYJ	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
