   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Marshawn Lynch	Sea	Den	0	0	0	0	0	0	26	88	1	0	3	40	1	0	0	0	24
Rashad Jennings	NYG	Hou	0	0	0	0	0	0	34	176	1	0	0	0	0	0	0	0	23
DeMarco Murray	Dal	@Stl	0	0	0	0	0	0	24	100	1	0	4	31	0	0	1	0	18
Joe McKnight	KC	@Mia	0	0	0	0	0	0	1	3	0	0	6	64	2	0	0	0	18
Knile Davis	KC	@Mia	0	0	0	0	0	0	32	132	1	0	0	0	0	0	1	0	18
LeGarrette Blount	Pit	@Car	0	0	0	0	0	0	10	118	1	0	0	0	0	0	0	0	17
Fred Jackson	Buf	SD	1	0	0	0	0	0	6	34	0	0	8	78	1	0	0	0	16
Giovani Bernard	Cin	Ten	0	0	0	0	0	0	14	47	2	0	1	7	0	0	0	0	16
Lorenzo Taliaferro	Bal	@Cle	0	0	0	0	0	0	18	91	1	0	0	0	0	0	0	0	15
Reggie Bush	Det	GB	0	0	0	0	0	0	12	61	1	0	6	38	0	0	0	0	15
Le'Veon Bell	Pit	@Car	0	0	0	0	0	0	21	147	0	0	2	10	0	0	0	0	15
Ahmad Bradshaw	Ind	@Jac	0	0	0	0	0	0	9	65	0	0	2	18	1	0	0	0	13
Lamar Miller	Mia	KC	0	0	0	0	0	0	15	108	0	0	4	24	0	0	0	0	12
Pierre Thomas	NO	Min	0	0	0	0	0	0	8	30	1	0	3	21	0	0	0	0	11
Zac Stacy	Stl	Dal	0	0	0	0	0	0	12	67	0	0	5	54	0	0	0	0	11
Kyle Juszczyk	Bal	@Cle	0	0	0	0	0	0	0	0	0	0	3	54	1	0	0	0	11
Steven Jackson	Atl	TB	0	0	0	0	0	0	14	54	1	0	0	0	0	0	0	0	11
Roy Helu	Was	@Phi	0	0	0	0	0	0	1	1	1	0	1	55	0	0	0	0	11
Isaiah Crowell	Cle	Bal	0	0	0	0	0	0	11	55	1	0	0	0	0	0	0	0	11
Antone Smith	Atl	TB	0	0	0	0	0	0	4	50	1	0	0	0	0	0	1	0	10
Terrance West	Cle	Bal	0	0	0	0	0	0	12	36	1	0	2	5	0	0	0	0	9
Chris Ivory	NYJ	Chi	0	0	0	0	0	0	10	44	0	0	4	52	0	0	0	0	9
Jeremy Hill	Cin	Ten	0	0	0	0	0	0	7	39	1	0	0	0	0	0	0	0	9
Shonn Greene	Ten	@Cin	0	0	0	0	0	0	10	33	1	0	0	0	0	0	0	0	9
Bobby Rainey	TB	@Atl	0	0	0	0	0	0	11	41	0	0	7	64	0	0	2	0	8
Donald Brown	SD	@Buf	0	0	0	0	0	0	31	62	0	0	5	27	0	0	0	0	8
Alfred Blue	Hou	@NYG	0	0	0	0	0	0	13	78	0	0	1	10	0	0	0	0	8
Trent Richardson	Ind	@Jac	0	0	0	0	0	0	14	57	0	0	3	23	0	0	0	0	7
Alfred Morris	Was	@Phi	0	0	0	0	0	0	23	77	0	0	0	0	0	0	0	0	7
Carlos Hyde	SF	@Ari	0	0	0	0	0	0	3	13	1	0	2	-2	0	0	0	0	7
Cyrus Gray	KC	@Mia	0	0	0	0	0	0	4	18	1	0	0	0	0	0	0	0	7
Matt Forte	Chi	@NYJ	0	0	0	0	0	0	13	33	0	0	6	43	0	0	0	0	7
Andre Ellington	Ari	SF	0	0	0	0	0	0	18	62	0	0	3	13	0	0	0	0	7
Darrel Young	Was	@Phi	0	0	0	0	0	0	1	1	0	0	1	4	1	0	0	0	6
