   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Russell Shepard	TB	@Car	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	2
Eddie Royal	SD	Den	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	2
Kevin Ogletree	NYG	Was	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Josh Morgan	Chi	NO	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	2
Damaris Johnson	Hou	@Ind	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0	2
Brandon Gibson	Mia	@NE	0	0	0	0	0	0	0	0	0	0	3	29	0	0	0	0	2
Jeff Cumberland	NYJ	@Ten	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	2
Brice Butler	Oak	@KC	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	2
Philly Brown	Car	TB	0	0	0	0	0	0	1	17	0	0	1	10	0	0	0	0	2
John Brown	Ari	@Stl	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	2
Anquan Boldin	SF	@Sea	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	2
Terrance Williams	Dal	@Phi	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0	1
Wes Welker	Den	@SD	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	1
Reggie Wayne	Ind	Hou	0	0	0	0	0	0	0	0	0	0	4	24	0	0	1	0	1
Torrey Smith	Bal	Jac	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	1
Niles Paul	Was	@NYG	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	1
Cordarrelle Patterson	Min	@Det	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	1
Preston Parker	NYG	Was	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Santana Moss	Was	@NYG	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	1
Rishard Matthews	Mia	@NE	0	0	0	0	0	0	1	3	0	0	2	16	0	0	0	0	1
Brandon Lloyd	SF	@Sea	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Marqise Lee	Jac	@Bal	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	1
DeSean Jackson	Was	@NYG	0	0	0	0	0	0	1	9	0	0	3	15	0	0	0	0	1
Percy Harvin	NYJ	@Ten	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	1
Kris Durham	Ten	NYJ	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Michael Crabtree	SF	@Sea	0	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0	1
Riley Cooper	Phi	Dal	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	1
Vincent Brown	Oak	@KC	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	1
Jason Avant	KC	Oak	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Tavon Austin	Stl	Ari	0	0	0	0	0	0	1	8	0	0	2	14	0	0	0	0	1
Danny Amendola	NE	Mia	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1
Keenan Allen	SD	Den	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0	1
Seyi Ajirotutu	SD	Den	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	1
