
Team	Opp	Sack	Int	Saf	FR	Blk	TD	PA	PassYds	RushYds	TotYds	Pts*
Baltimore Ravens	Jac	8.0	1	0	0	1	1	12	166	82	248	25
New England Patriots	Mia	4.0	2	0	0	1	1	13	308	76	384	23
Buffalo Bills	GB	1.0	2	1	0	1	1	13	175	158	333	22
Kansas City Chiefs	Oak	4.0	0	0	1	0	1	13	202	78	280	19
Cincinnati Bengals	@Cle	3.0	2	0	0	0	0	0	54	53	107	17
New Orleans Saints	@Chi	7.0	3	0	0	0	0	15	153	125	278	17
Arizona Cardinals	@Stl	2.0	1	0	1	0	0	6	211	69	280	16
Houston Texans	@Ind	2.0	1	0	1	0	1	17	168	110	278	16
Detroit Lions	Min	4.0	2	0	0	1	0	14	284	76	360	14
New York Giants	Was	7.0	0	0	0	0	0	13	228	144	372	14
Carolina Panthers	TB	3.0	1	0	2	0	0	17	136	151	287	13
Denver Broncos	@SD	0.0	2	0	0	1	0	10	232	56	288	13
Seattle Seahawks	SF	6.0	0	0	0	0	0	7	105	140	245	13
Indianapolis Colts	Hou	1.0	1	0	1	0	0	10	152	137	289	12
Pittsburgh Steelers	@Atl	0.0	1	0	0	0	1	20	310	97	407	12
Dallas Cowboys	@Phi	4.0	2	0	1	0	0	27	219	75	294	11
San Francisco 49ers	@Sea	5.0	1	0	0	0	0	17	138	152	290	11
New York Jets	@Ten	1.0	0	0	1	0	0	11	253	89	342	10
Tampa Bay Buccaneers	@Car	3.0	0	0	1	0	0	19	269	123	392	9
Tennessee Titans	NYJ	3.0	0	1	0	0	0	16	163	114	277	9
St. Louis Rams	Ari	1.0	0	0	0	0	0	12	131	143	274	8
Green Bay Packers	@Buf	3.0	1	0	0	0	0	21	140	113	253	6
Jacksonville Jaguars	@Bal	0.0	0	0	1	0	0	20	221	93	314	6
Philadelphia Eagles	Dal	3.0	0	0	1	0	0	38	249	115	364	5
Chicago Bears	NO	2.0	0	0	1	0	0	31	360	83	443	4
Cleveland Browns	Cin	2.0	1	0	0	0	0	30	103	244	347	4
Minnesota Vikings	@Det	0.0	0	0	0	0	0	16	153	80	233	4
Washington Redskins	@NYG	1.0	0	0	1	0	0	24	238	49	287	4
Oakland Raiders	@KC	1.0	0	0	1	0	0	31	295	93	388	3
Atlanta Falcons	Pit	1.0	0	0	0	0	0	27	353	45	398	2
Miami Dolphins	@NE	0.0	1	0	0	0	0	41	287	108	395	2
San Diego Chargers	Den	1.0	0	0	0	0	0	22	226	111	337	2
