   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Antonio Gates	SD	Sea	0	0	0	0	0	0	0	0	0	0	7	96	3	0	0	0	27
Jimmy Graham	NO	@Cle	0	0	0	0	0	0	0	0	0	0	10	118	2	0	0	0	23
Delanie Walker	Ten	Dal	0	0	0	0	0	0	0	0	0	0	10	142	1	0	0	0	20
Owen Daniels	Bal	Pit	0	0	0	0	0	0	0	0	0	0	5	28	2	0	0	0	14
Marcedes Lewis	Jac	@Was	0	0	0	0	0	0	0	0	0	0	2	71	1	0	0	0	13
Julius Thomas	Den	KC	0	0	0	0	0	0	0	0	0	0	4	39	1	0	0	0	9
Martellus Bennett	Chi	@SF	0	0	0	0	0	0	0	0	0	0	7	37	1	0	0	0	9
Travis Kelce	KC	@Den	0	0	0	0	0	0	0	0	0	0	4	81	0	0	0	0	8
Zach Ertz	Phi	@Ind	0	0	0	0	0	0	0	0	0	0	4	86	0	0	0	0	8
Larry Donnell	NYG	Ari	0	0	0	0	0	0	0	0	0	0	7	81	0	0	0	0	8
Greg Olsen	Car	Det	0	0	0	0	0	0	0	0	0	0	6	72	0	0	0	0	7
Jack Doyle	Ind	Phi	0	0	0	0	0	0	0	0	0	0	2	12	1	0	0	0	7
Jacob Tamme	Den	KC	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	6
Daniel Fells	NYG	Ari	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	6
Jed Collins	Det	@Car	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	6
Kyle Rudolph	Min	NE	0	0	0	0	0	0	0	0	0	0	5	53	0	0	0	0	5
Jared Cook	Stl	@TB	0	0	0	0	0	0	0	0	0	0	4	46	0	0	0	0	4
John Carlson	Ari	@NYG	0	0	0	0	0	0	0	0	0	0	2	43	0	0	0	0	4
Gary Barnidge	Cle	NO	0	0	0	0	0	0	0	0	0	0	4	41	0	0	0	0	4
Jason Witten	Dal	@Ten	0	0	0	0	0	0	0	0	0	0	4	32	0	0	0	0	3
Dennis Pitta	Bal	Pit	0	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0	3
Brandon Myers	TB	Stl	0	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	3
Rob Gronkowski	NE	@Min	0	0	0	0	0	0	0	0	0	0	4	32	0	0	0	0	3
Anthony Fasano	KC	@Den	0	0	0	0	0	0	0	0	0	0	3	39	0	0	0	0	3
Eric Ebron	Det	@Car	0	0	0	0	0	0	0	0	0	0	3	38	0	0	0	0	3
Vernon Davis	SF	Chi	0	0	0	0	0	0	0	0	0	0	3	39	0	0	0	0	3
Charles Clay	Mia	@Buf	0	0	0	0	0	0	0	0	0	0	7	31	0	0	0	0	3
Mychal Rivera	Oak	Hou	0	0	0	0	0	0	0	0	0	0	5	31	0	0	1	0	2
Zach Miller	Sea	@SD	0	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0	2
Heath Miller	Pit	@Bal	0	0	0	0	0	0	0	0	0	0	4	35	0	0	1	0	2
Lance Kendricks	Stl	@TB	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Jermaine Gresham	Cin	Atl	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	2
Garrett Graham	Hou	@Oak	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	2
Joseph Fauria	Det	@Car	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	2
Rhett Ellison	Min	NE	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	2
Scott Chandler	Buf	Mia	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0	0	2
Levine Toilolo	Atl	@Cin	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1
Troy Niklas	Ari	@NYG	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	1
Demetrius Harris	KC	@Den	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
Chris Gragg	Buf	Mia	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Coby Fleener	Ind	Phi	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
