
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Jordy Nelson	GB	NYJ	0	0	0	0	0	0	0	0	0	0	9	209	1	0	0	0	26
Brandon Marshall	Chi	@SF	0	0	0	0	0	0	0	0	0	0	5	48	3	0	0	0	22
Sammy Watkins	Buf	Mia	0	0	0	0	0	0	0	0	0	0	8	117	1	0	0	0	17
Randall Cobb	GB	NYJ	0	0	0	0	0	0	2	6	0	0	5	39	2	1	0	0	17
Mohamed Sanu	Cin	Atl	1	1	50	0	0	0	0	0	0	0	3	84	1	0	0	0	16
James Jones	Oak	Hou	0	0	0	0	0	0	0	0	0	0	9	112	1	0	1	0	16
Dez Bryant	Dal	@Ten	0	0	0	0	0	0	0	0	0	0	10	103	1	0	0	0	16
Niles Paul	Was	Jac	0	0	0	0	0	0	0	0	0	0	8	99	1	0	0	0	15
Julio Jones	Atl	@Cin	0	0	0	0	0	0	0	0	0	0	7	88	1	0	0	0	14
Julian Edelman	NE	@Min	0	0	0	0	0	0	1	9	0	0	6	81	1	0	0	0	14
Michael Crabtree	SF	Chi	0	0	0	0	0	0	0	0	0	0	7	82	1	0	0	0	14
Demaryius Thomas	Den	KC	0	0	0	0	0	0	0	0	0	0	5	62	1	0	0	0	12
Eric Decker	NYJ	@GB	0	0	0	0	0	0	0	0	0	0	4	63	1	0	0	0	12
Mike Wallace	Mia	@Buf	0	0	0	0	0	0	0	0	0	0	5	56	1	0	0	0	11
Jason Avant	Car	Det	0	0	0	0	0	0	0	0	0	0	5	54	1	0	0	0	11
Emmanuel Sanders	Den	KC	0	0	0	0	0	0	1	-2	0	0	8	108	0	0	0	0	10
Jeremy Maclin	Phi	@Ind	0	0	0	0	0	0	0	0	0	0	4	45	1	0	0	0	10
Antonio Brown	Pit	@Bal	0	0	0	0	0	0	2	10	0	0	7	90	0	0	0	0	10
Miles Austin	Cle	NO	0	0	0	0	0	0	0	0	0	0	6	44	1	0	0	0	10
Rueben Randle	NYG	Ari	0	0	0	0	0	0	0	0	0	0	4	39	1	0	0	0	9
Percy Harvin	Sea	@SD	0	0	0	0	0	0	2	45	1	0	1	5	0	0	1	0	9
Calvin Johnson	Det	@Car	0	0	0	0	0	0	0	0	0	0	6	83	0	0	0	0	8
DeAndre Hopkins	Hou	@Oak	0	0	0	0	0	0	0	0	0	0	3	22	1	0	0	0	8
Steve Smith	Bal	Pit	0	0	0	0	0	0	0	0	0	0	6	71	0	0	0	0	7
Allen Robinson	Jac	@Was	0	0	0	0	0	0	0	0	0	0	4	75	0	0	0	0	7
Brian Quick	Stl	@TB	0	0	0	0	0	0	0	0	0	0	7	74	0	0	0	0	7
Andre Johnson	Hou	@Oak	0	0	0	0	0	0	0	0	0	0	6	74	0	0	0	0	7
Andrew Hawkins	Cle	NO	0	0	0	0	0	0	0	0	0	0	6	70	0	0	0	0	7
Eddie Royal	SD	Sea	0	0	0	0	0	0	0	0	0	0	7	69	0	0	0	0	6
Andre Roberts	Was	Jac	0	0	0	0	0	0	1	19	0	0	4	57	0	0	0	0	6
Jermaine Kearse	Sea	@SD	0	0	0	0	0	0	0	0	0	0	4	61	0	0	0	0	6
T.Y. Hilton	Ind	Phi	0	0	0	0	0	0	0	0	0	0	6	65	0	0	0	0	6
Victor Cruz	NYG	Ari	0	0	0	0	0	0	0	0	0	0	5	60	0	0	0	0	6
Jerricho Cotchery	Car	Det	0	0	0	0	0	0	0	0	0	0	4	46	0	1	0	0	6
Markus Wheaton	Pit	@Bal	0	0	0	0	0	0	2	22	0	0	5	38	0	0	0	0	5
Golden Tate	Det	@Car	0	0	0	0	0	0	0	0	0	0	5	57	0	0	0	0	5
Brandon Tate	Cin	Atl	0	0	0	0	0	0	0	0	0	0	1	50	0	0	0	0	5
Cordarrelle Patterson	Min	NE	0	0	0	0	0	0	0	0	0	0	4	56	0	0	0	0	5
Jeremy Kerley	NYJ	@GB	0	0	0	0	0	0	0	37	0	0	3	22	0	0	0	0	5
Vincent Jackson	TB	Stl	0	0	0	0	0	0	0	0	0	0	4	51	0	0	0	0	5
Ryan Grant	Was	Jac	0	0	0	0	0	0	0	0	0	0	5	57	0	0	0	0	5
Larry Fitzgerald	Ari	@NYG	0	0	0	0	0	0	0	0	0	0	6	51	0	0	0	0	5
Keenan Allen	SD	Sea	0	0	0	0	0	0	0	0	0	0	5	55	0	0	0	0	5
Davante Adams	GB	NYJ	0	0	0	0	0	0	0	0	0	0	5	50	0	0	0	0	5
Roddy White	Atl	@Cin	0	0	0	0	0	0	0	0	0	0	5	42	0	0	0	0	4
Dane Sanzenbacher	Cin	Atl	0	0	0	0	0	0	0	0	0	0	2	42	0	0	0	0	4
Austin Pettis	Stl	@TB	0	0	0	0	0	0	0	0	0	0	3	46	0	0	0	0	4
