
Team	Opp	Sack	Int	Saf	FR	Blk	TD	PA	PassYds	RushYds	TotYds	Pts*
New England Patriots	@Min	6.0	4	0	0	1	1	7	163	54	217	29
Buffalo Bills	Mia	4.0	1	0	1	1	1	10	210	80	290	23
Arizona Cardinals	@NYG	2.0	2	0	2	0	1	14	260	81	341	20
Washington Redskins	Jac	10.0	1	0	0	0	0	10	123	25	148	19
Baltimore Ravens	Pit	2.0	1	0	2	0	0	6	202	99	301	18
Carolina Panthers	Det	4.0	1	0	2	0	0	7	253	70	323	17
Chicago Bears	@SF	4.0	3	0	1	0	0	20	232	127	359	16
Cincinnati Bengals	Atl	2.0	3	0	0	0	0	10	212	97	309	15
Cleveland Browns	NO	2.0	1	0	1	0	1	24	223	174	397	13
Dallas Cowboys	@Ten	2.0	2	0	0	0	0	10	232	82	314	13
Houston Texans	@Oak	0.0	2	0	2	0	0	14	263	101	364	12
St. Louis Rams	@TB	1.0	1	0	0	2	0	17	175	157	332	11
Tampa Bay Buccaneers	Stl	2.0	0	0	1	0	0	19	220	119	339	8
Tennessee Titans	Dal	4.0	0	0	1	0	0	26	148	220	368	7
Denver Broncos	KC	2.0	0	0	0	0	0	17	247	133	380	6
New York Jets	@GB	4.0	0	0	1	0	0	31	310	80	390	6
Detroit Lions	@Car	4.0	0	0	0	0	0	24	251	62	313	5
Green Bay Packers	NYJ	2.0	1	0	0	0	0	24	166	147	313	5
New York Giants	Ari	4.0	0	0	0	0	0	25	142	124	266	5
Philadelphia Eagles	@Ind	0.0	1	0	1	0	0	27	172	169	341	5
San Diego Chargers	Sea	2.0	0	0	1	0	0	21	180	108	288	5
Jacksonville Jaguars	@Was	3.0	0	0	0	0	0	41	258	191	449	3
San Francisco 49ers	Chi	1.0	0	0	0	1	0	28	170	46	216	3
Indianapolis Colts	Phi	0.0	1	0	0	0	0	30	331	127	458	2
Kansas City Chiefs	@Den	1.0	0	0	0	0	0	24	237	88	325	2
New Orleans Saints	@Cle	1.0	0	0	0	0	0	26	202	122	324	2
Oakland Raiders	Hou	0.0	0	0	0	1	0	30	139	188	327	2
Atlanta Falcons	@Cin	0.0	0	0	0	0	0	24	302	170	472	1
Minnesota Vikings	NE	1.0	0	0	0	0	0	30	142	150	292	1
Pittsburgh Steelers	@Bal	0.0	0	0	0	0	0	26	166	157	323	1
Seattle Seahawks	@SD	1.0	0	0	0	0	0	30	276	101	377	1
Miami Dolphins	@Buf	0.0	0	0	0	0	0	29	202	113	315	0
