   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Odell Beckham	NYG	@Stl	0	0	0	0	0	0	1	0	0	0	8	148	2	0	0	0	26
Emmanuel Sanders	Den	@Cin	0	0	0	0	0	0	0	0	0	0	6	70	2	0	0	0	19
Rueben Randle	NYG	@Stl	0	0	0	0	0	0	0	0	0	0	6	132	1	0	0	0	19
Terrance Williams	Dal	Ind	0	0	0	0	0	0	0	0	0	0	2	52	2	0	0	0	17
Mike Wallace	Mia	Min	0	0	0	0	0	0	0	0	0	0	5	58	2	0	0	0	17
Torrey Smith	Bal	@Hou	0	0	0	0	0	0	0	0	0	0	5	59	2	0	0	0	17
Jordy Nelson	GB	@TB	0	0	0	0	0	0	0	0	0	0	9	113	1	0	0	0	17
Riley Cooper	Phi	@Was	0	0	0	0	0	0	0	0	0	0	5	53	2	0	0	0	17
Eddie Royal	SD	@SF	0	0	0	0	0	0	0	0	0	0	10	94	1	0	0	0	15
Sammy Watkins	Buf	@Oak	0	0	0	0	0	0	0	0	0	0	3	75	1	0	0	0	13
Alshon Jeffery	Chi	Det	0	0	0	0	0	0	0	0	0	0	6	72	1	0	0	0	13
Bruce Ellington	SF	SD	0	0	0	0	0	0	3	12	1	0	1	8	1	0	0	0	13
Randall Cobb	GB	@TB	0	0	0	0	0	0	0	0	0	0	11	131	0	0	0	0	13
Dez Bryant	Dal	Ind	0	0	0	0	0	0	0	0	0	0	5	73	1	0	0	0	13
Antonio Brown	Pit	KC	0	0	0	0	0	0	0	0	0	0	7	72	1	0	0	0	13
DeSean Jackson	Was	Phi	0	0	0	0	0	0	0	0	0	0	4	126	0	0	0	0	12
Jarius Wright	Min	@Mia	0	0	0	0	0	0	1	27	0	0	3	38	1	0	0	0	11
Robert Woods	Buf	@Oak	0	0	0	0	0	0	0	0	0	0	7	52	1	0	0	0	11
Demaryius Thomas	Den	@Cin	0	0	0	0	0	0	0	0	0	0	7	115	0	0	0	0	11
Greg Jennings	Min	@Mia	0	0	0	0	0	0	0	0	0	0	3	56	1	0	0	0	11
Malcom Floyd	SD	@SF	0	0	0	0	0	0	0	0	0	0	4	50	1	0	0	0	11
Doug Baldwin	Sea	@Ari	0	0	0	0	0	0	0	0	0	0	7	113	0	0	0	0	11
Julio Jones	Atl	@NO	0	0	0	0	0	0	0	0	0	0	7	107	0	0	0	0	10
Calvin Johnson	Det	@Chi	0	0	0	0	0	0	0	0	0	0	6	103	0	0	0	0	10
Chris Givens	Stl	NYG	0	0	0	0	0	0	0	0	0	0	1	47	1	0	0	0	10
Jeff Cumberland	NYJ	NE	0	0	0	0	0	0	0	0	0	0	3	43	1	0	0	0	10
Kenny Britt	Stl	NYG	0	0	0	0	0	0	0	0	0	0	9	103	0	0	0	0	10
Kenbrell Thompkins	Oak	Buf	0	0	0	0	0	0	0	0	0	0	5	90	0	0	0	0	9
Albert Wilson	KC	@Pit	0	0	0	0	0	0	0	0	0	0	5	87	0	0	0	0	8
Marques Colston	NO	Atl	0	0	0	0	0	0	0	0	0	0	6	80	0	0	0	0	8
Cole Beasley	Dal	Ind	0	0	0	0	0	0	0	0	0	0	2	29	1	0	0	0	8
Kendall Wright	Ten	@Jac	0	0	0	0	0	0	0	0	0	0	4	73	0	0	0	0	7
Hakeem Nicks	Ind	@Dal	0	0	0	0	0	0	0	0	0	0	9	72	0	0	0	0	7
Dontrelle Inman	SD	@SF	0	0	0	0	0	0	0	0	0	0	7	79	0	0	0	0	7
Andre Holmes	Oak	Buf	0	0	0	0	0	0	0	0	0	0	3	73	0	0	0	0	7
Marquess Wilson	Chi	Det	0	0	0	0	0	0	0	0	0	0	7	66	0	0	0	0	6
Eric Weems	Atl	@NO	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	6
Golden Tate	Det	@Chi	0	0	0	0	0	0	0	0	0	0	5	62	0	0	0	0	6
Kenny Stills	NO	Atl	0	0	0	0	0	0	0	0	0	0	6	68	0	0	0	0	6
Jeremy Maclin	Phi	@Was	0	0	0	0	0	0	0	0	0	0	4	62	0	0	0	0	6
Marqise Lee	Jac	Ten	0	0	0	0	0	0	0	0	0	0	4	65	0	0	0	0	6
Brandon LaFell	NE	@NYJ	0	0	0	0	0	0	0	0	0	0	7	64	0	0	0	0	6
James Jones	Oak	Buf	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	6
Andre Johnson	Hou	Bal	0	0	0	0	0	0	0	0	0	0	6	65	0	0	0	0	6
Vincent Jackson	TB	GB	0	0	0	0	0	0	0	0	0	0	3	60	0	0	0	0	6
Pierre Garcon	Was	Phi	0	0	0	0	0	0	0	0	0	0	4	61	0	0	0	0	6
Anquan Boldin	SF	SD	0	0	0	0	0	0	0	0	0	0	7	61	0	0	0	0	6
Danny Amendola	NE	@NYJ	0	0	0	0	0	0	0	0	0	0	8	63	0	0	0	0	6
Roddy White	Atl	@NO	0	0	0	0	0	0	0	0	0	0	6	55	0	0	0	0	5
Paul Richardson	Sea	@Ari	0	0	0	0	0	0	0	0	0	0	5	52	0	0	0	0	5
Jordan Matthews	Phi	@Was	0	0	0	0	0	0	0	0	0	0	3	58	0	0	0	0	5
Jeremy Kerley	NYJ	NE	0	0	0	0	0	0	0	0	0	0	3	54	0	0	0	0	5
Brandon Gibson	Mia	Min	0	0	0	0	0	0	0	0	0	0	2	50	0	0	0	0	5
John Brown	Ari	Sea	0	0	0	0	0	0	0	0	0	0	3	54	0	0	0	0	5
Dwayne Bowe	KC	@Pit	0	0	0	0	0	0	0	0	0	0	6	57	0	0	0	0	5
Nick Toon	NO	Atl	0	0	0	0	0	0	1	4	0	0	3	44	0	0	0	0	4
Steve Smith	Bal	@Hou	0	0	0	0	0	0	0	0	0	0	5	49	0	0	0	0	4
Chris Hogan	Buf	@Oak	0	0	0	0	0	0	0	0	0	0	3	43	0	0	0	0	4
Percy Harvin	NYJ	NE	0	0	0	0	0	0	2	1	0	0	4	44	0	0	0	0	4
Derek Hagan	Ten	@Jac	0	0	0	0	0	0	0	0	0	0	3	47	0	0	0	0	4
Josh Gordon	Cle	@Car	0	0	0	0	0	0	0	0	0	0	4	45	0	0	0	0	4
Michael Floyd	Ari	Sea	0	0	0	0	0	0	0	0	0	0	2	41	0	0	0	0	4
Mike Evans	TB	GB	0	0	0	0	0	0	0	0	0	0	4	49	0	0	0	0	4
Harry Douglas	Atl	@NO	0	0	0	0	0	0	0	0	0	0	4	47	0	0	0	0	4
Jerricho Cotchery	Car	Cle	0	0	0	0	0	0	0	0	0	0	5	46	0	0	0	0	4
Martavis Bryant	Pit	KC	0	0	0	0	0	0	2	9	0	0	1	44	0	0	0	0	4
Kelvin Benjamin	Car	Cle	0	0	0	0	0	0	0	0	0	0	5	47	0	0	0	0	4
Wes Welker	Den	@Cin	0	0	0	0	0	0	0	0	0	0	4	30	0	0	0	0	3
Preston Parker	NYG	@Stl	0	0	0	0	0	0	0	0	0	0	3	32	0	0	0	0	3
Charles Johnson	Min	@Mia	0	0	0	0	0	0	0	0	0	0	3	38	0	0	0	0	3
DeAndre Hopkins	Hou	Bal	0	0	0	0	0	0	0	0	0	0	5	38	0	0	0	0	3
Larry Fitzgerald	Ari	Sea	0	0	0	0	0	0	0	0	0	0	4	33	0	0	0	0	3
Jason Avant	KC	@Pit	0	0	0	0	0	0	0	0	0	0	4	37	0	0	0	0	3
Tavon Austin	Stl	NYG	0	0	0	0	0	0	3	25	0	0	1	15	0	0	0	0	3
Markus Wheaton	Pit	KC	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0	0	2
Reggie Wayne	Ind	@Dal	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	2
Marcel Reece	Oak	Buf	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	2
Jarvis Landry	Mia	Min	0	0	0	0	0	0	0	0	0	0	8	31	0	0	1	0	2
Jacoby Jones	Bal	@Hou	0	0	0	0	0	0	0	0	0	0	2	28	0	0	0	0	2
Damaris Johnson	Hou	Bal	0	0	0	0	0	0	0	0	0	0	4	27	0	0	0	0	2
Allen Hurns	Jac	Ten	0	0	0	0	0	0	0	0	0	0	3	26	0	0	0	0	2
Andrew Hawkins	Cle	@Car	0	0	0	0	0	0	2	7	0	0	1	28	0	0	0	0	2
Eric Decker	NYJ	NE	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0	2
Philly Brown	Car	Cle	0	0	0	0	0	0	1	0	0	0	2	22	0	0	0	0	2
Stedman Bailey	Stl	NYG	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	2
Tim Wright	NE	@NYJ	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Nate Washington	Ten	@Jac	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
Bryan Walters	Sea	@Ari	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Adam Thielen	Min	@Mia	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Brandon Tate	Cin	Den	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Cecil Shorts	Jac	Ten	1	1	9	0	0	0	0	0	0	0	2	15	0	0	0	0	1
Dane Sanzenbacher	Cin	Den	0	0	0	0	0	0	1	-1	0	0	1	11	0	0	0	0	1
Mohamed Sanu	Cin	Den	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	1
Quinton Patton	SF	SD	0	0	0	0	0	0	1	20	0	0	2	9	0	0	1	0	1
Cordarrelle Patterson	Min	@Mia	0	0	0	0	0	0	1	-2	0	0	1	18	0	0	0	0	1
Robert Meachem	NO	Atl	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Kris Durham	Ten	@Jac	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	1
Marlon Brown	Bal	@Hou	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1
Brenton Bersin	Car	Cle	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	1
Davante Adams	GB	@TB	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	1
