
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Matt Forte	Chi	@Atl	0	0	0	0	0	0	17	80	2	0	10	77	0	0	0	0	27
Arian Foster	Hou	Ind	0	0	0	0	0	0	20	109	2	0	3	32	0	0	0	0	25
Giovani Bernard	Cin	Car	0	0	0	0	0	0	18	137	1	0	4	20	0	0	0	0	21
DeMarco Murray	Dal	@Sea	0	0	0	0	0	0	28	115	1	0	6	31	0	0	0	0	20
Ben Tate	Cle	Pit	0	0	0	0	0	0	25	78	2	0	0	0	0	0	0	0	19
Branden Oliver	SD	@Oak	0	0	0	0	0	0	26	101	1	0	4	23	0	0	0	0	18
Joique Bell	Det	@Min	0	0	0	0	0	0	18	74	1	0	2	23	0	0	0	0	15
Lamar Miller	Mia	GB	0	0	0	0	0	0	14	53	1	0	3	40	0	0	1	0	14
LeSean McCoy	Phi	NYG	0	0	0	0	0	0	22	149	0	0	2	5	0	0	0	0	14
Theo Riddick	Det	@Min	0	0	0	0	0	0	3	6	0	0	5	75	1	0	0	0	13
Antone Smith	Atl	Chi	0	0	0	0	0	0	2	5	0	0	4	64	1	0	0	0	12
Isaiah Crowell	Cle	Pit	0	0	0	0	0	0	11	77	1	0	0	0	0	0	1	0	12
Ronnie Hillman	Den	@NYJ	0	0	0	0	0	0	24	100	0	0	3	16	0	0	0	0	11
Justin Forsett	Bal	@TB	0	0	0	0	0	0	14	111	0	0	0	0	0	0	0	0	11
Ahmad Bradshaw	Ind	@Hou	0	0	0	0	0	0	11	34	0	0	3	25	1	0	0	0	11
Fozzy Whittaker	Car	@Cin	0	0	0	0	0	0	9	25	1	0	2	27	0	0	0	0	10
Trent Richardson	Ind	@Hou	0	0	0	0	0	0	17	41	1	0	0	0	0	0	0	0	10
Le'Veon Bell	Pit	@Cle	0	0	0	0	0	0	18	82	0	0	4	23	0	0	0	0	10
Darren Sproles	Phi	NYG	0	0	0	0	0	0	7	39	1	0	0	0	0	0	0	0	9
Bernard Pierce	Bal	@TB	0	0	0	0	0	0	15	32	1	0	0	0	0	0	0	0	9
Fred Jackson	Buf	NE	0	0	0	0	0	0	10	26	1	0	4	17	0	0	0	0	9
Jeremy Hill	Cin	Car	0	0	0	0	0	0	8	22	1	0	4	13	0	0	0	0	9
Benny Cunningham	Stl	SF	0	0	0	0	0	0	7	21	1	0	2	12	0	0	0	0	9
Jerick McKinnon	Min	Det	0	0	0	0	0	0	11	40	0	0	6	42	0	0	0	0	8
Darren McFadden	Oak	SD	0	0	0	0	0	0	14	80	0	0	2	6	0	0	0	0	8
Storm Johnson	Jac	@Ten	0	0	0	0	0	0	10	21	1	0	1	-4	0	0	0	0	8
Andre Ellington	Ari	Was	0	0	0	0	0	0	19	67	0	0	6	26	0	0	0	0	8
Bishop Sankey	Ten	Jac	0	0	0	0	0	0	18	61	0	0	1	7	0	0	0	0	6
Marshawn Lynch	Sea	Dal	0	0	0	0	0	0	10	61	0	0	1	1	0	0	0	0	6
Roy Helu	Was	@Ari	0	0	0	0	0	0	3	26	0	0	2	40	0	0	0	0	6
Jackie Battle	Ten	Jac	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	6
Andre Williams	NYG	@Phi	0	0	0	0	0	0	17	59	0	0	0	0	0	0	0	0	5
Joseph Randle	Dal	@Sea	0	0	0	0	0	0	5	52	0	0	0	0	0	0	0	0	5
Alfred Morris	Was	@Ari	0	0	0	0	0	0	13	41	0	0	1	14	0	0	0	0	5
Dexter McCluster	Ten	Jac	0	0	0	0	0	0	2	6	0	0	6	52	0	0	0	0	5
Tre Mason	Stl	SF	0	0	0	0	0	0	5	40	0	0	1	12	0	0	0	0	5
James Starks	GB	@Mia	0	0	0	0	0	0	8	31	0	0	2	11	0	0	0	0	4
Bobby Rainey	TB	Bal	0	0	0	0	0	0	7	42	0	0	0	0	0	0	0	0	4
Doug Martin	TB	Bal	0	0	0	0	0	0	11	45	0	0	1	3	0	0	0	0	4
Eddie Lacy	GB	@Mia	0	0	0	0	0	0	14	40	0	0	0	0	0	0	0	0	4
Maurice Jones-Drew	Oak	SD	0	0	0	0	0	0	4	30	0	0	1	10	0	0	0	0	4
Peyton Hillis	NYG	@Phi	0	0	0	0	0	0	5	24	0	0	3	28	0	0	0	0	4
Lance Dunbar	Dal	@Sea	0	0	0	0	0	0	1	-4	0	0	4	48	0	0	0	0	4
Juwan Thompson	Den	@NYJ	0	0	0	0	0	0	8	38	0	0	1	0	0	0	0	0	3
Lorenzo Taliaferro	Bal	@TB	0	0	0	0	0	0	2	29	0	0	2	18	0	0	0	0	3
Frank Gore	SF	@Stl	0	0	0	0	0	0	16	38	0	0	0	0	0	0	0	0	3
Will Ta'ufo'ou	Jac	@Ten	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	2
Zac Stacy	Stl	SF	0	0	0	0	0	0	8	17	0	0	2	17	0	0	0	0	2
Stevan Ridley	NE	@Buf	0	0	0	0	0	0	10	23	0	0	1	6	0	0	0	0	2
Kyle Juszczyk	Bal	@TB	0	0	0	0	0	0	0	0	0	0	2	29	0	0	0	0	2
Steven Jackson	Atl	Chi	0	0	0	0	0	0	6	25	0	0	0	0	0	0	0	0	2
Devonta Freeman	Atl	Chi	0	0	0	0	0	0	2	5	0	0	2	26	0	0	0	0	2
Anthony Dixon	Buf	NE	0	0	0	0	0	0	7	23	0	0	0	0	0	0	0	0	2
