
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Joe Flacco	Bal	@TB	28	21	306	5	0	0	0	0	0	0	0	0	0	0	0	0	42
Tom Brady	NE	@Buf	37	27	361	4	0	0	4	3	0	0	0	0	0	0	0	0	38
Cam Newton	Car	@Cin	46	29	284	2	1	0	17	107	1	0	0	0	0	0	0	0	37
Colin Kaepernick	SF	@Stl	35	22	343	3	0	0	3	37	0	0	0	0	0	0	0	0	34
Derek Carr	Oak	SD	34	18	282	4	1	0	1	2	0	0	0	0	0	0	0	0	33
Aaron Rodgers	GB	@Mia	42	24	264	3	0	0	7	34	0	0	0	0	0	0	0	0	31
Philip Rivers	SD	@Oak	34	22	313	3	0	0	5	13	0	0	0	0	0	0	0	0	31
Andrew Luck	Ind	@Hou	44	25	370	3	1	0	7	18	0	0	0	0	0	0	1	0	30
Peyton Manning	Den	@NYJ	33	22	237	3	0	0	1	0	0	0	0	0	0	0	0	0	27
Jay Cutler	Chi	@Atl	38	26	381	1	0	1	6	4	0	0	0	0	0	0	0	0	23
Carson Palmer	Ari	Was	44	28	250	2	0	0	1	-3	0	0	0	0	0	0	0	0	22
Kyle Orton	Buf	NE	38	24	299	2	1	1	0	0	0	0	0	0	0	0	1	0	22
Mike Glennon	TB	Bal	44	24	314	2	1	0	0	0	0	0	0	0	0	0	0	0	22
Andy Dalton	Cin	Car	43	33	323	2	2	0	4	25	0	0	0	0	0	0	0	0	22
Ryan Tannehill	Mia	GB	31	20	244	2	2	0	3	49	0	0	0	0	0	0	0	0	21
Tony Romo	Dal	@Sea	32	21	250	2	0	0	2	-1	0	0	0	0	0	0	1	0	21
Kirk Cousins	Was	@Ari	38	24	354	2	3	0	0	0	0	0	0	0	0	0	0	0	20
Blake Bortles	Jac	@Ten	46	32	336	1	1	0	5	38	0	0	0	0	0	0	0	0	20
Geno Smith	NYJ	Den	43	23	190	2	1	0	2	11	0	0	0	0	0	0	0	0	18
Nick Foles	Phi	NYG	34	21	248	2	2	0	2	5	0	0	0	0	0	0	0	0	17
Matt Ryan	Atl	Chi	37	19	271	1	1	0	1	-1	0	0	0	0	0	0	0	0	14
Brian Hoyer	Cle	Pit	17	8	217	1	0	0	1	0	0	0	0	0	0	0	0	0	14
Matthew Stafford	Det	@Min	33	19	185	1	0	0	1	1	0	0	0	0	0	0	0	0	13
Ben Roethlisberger	Pit	@Cle	42	21	228	1	1	0	1	7	0	0	0	0	0	0	0	0	13
Ryan Fitzpatrick	Hou	Ind	23	15	212	1	0	0	1	5	0	0	0	0	0	0	1	0	13
Austin Davis	Stl	SF	42	21	236	1	1	0	1	-1	0	0	0	0	0	0	0	0	13
Russell Wilson	Sea	Dal	28	14	126	0	1	0	2	12	1	0	0	0	0	0	0	0	10
Charlie Whitehurst	Ten	Jac	28	17	233	0	0	0	2	1	0	0	0	0	0	0	0	0	9
Eli Manning	NYG	@Phi	23	13	151	0	0	0	2	3	0	0	0	0	0	0	0	0	6
Ryan Nassib	NYG	@Phi	5	4	60	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Teddy Bridgewater	Min	Det	37	23	188	0	3	0	3	11	0	0	0	0	0	0	0	0	2
