
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Jonas Gray	NE	@Ind	0	0	0	0	0	0	37	201	4	0	0	0	0	0	0	0	44
Jamaal Charles	KC	Sea	0	0	0	0	0	0	20	159	2	0	2	19	0	0	1	0	27
Le'Veon Bell	Pit	@Ten	0	0	0	0	0	0	33	204	1	0	2	18	0	0	0	0	27
Eddie Lacy	GB	Phi	0	0	0	0	0	0	10	69	1	0	3	45	1	0	0	0	22
Jeremy Hill	Cin	@NO	0	0	0	0	0	0	27	152	0	0	1	13	0	0	0	0	16
Matt Forte	Chi	Min	0	0	0	0	0	0	26	117	0	0	6	58	0	0	0	0	16
Alfred Blue	Hou	@Cle	0	0	0	0	0	0	36	156	0	0	0	0	0	0	0	0	15
Alfred Morris	Was	TB	0	0	0	0	0	0	20	96	0	0	2	36	0	0	0	0	12
Marshawn Lynch	Sea	@KC	0	0	0	0	0	0	24	124	0	0	1	1	0	0	0	0	12
Tre Mason	Stl	Den	0	0	0	0	0	0	29	113	0	0	1	1	0	0	0	0	11
Joique Bell	Det	@Ari	0	0	0	0	0	0	14	85	0	0	3	30	0	0	0	0	11
Roy Helu	Was	TB	0	0	0	0	0	0	0	0	0	0	6	57	1	0	1	0	10
C.J. Anderson	Den	@Stl	0	0	0	0	0	0	9	29	0	0	8	86	0	0	0	0	10
Bishop Sankey	Ten	Pit	0	0	0	0	0	0	11	38	1	0	1	7	0	0	0	0	9
Lamar Miller	Mia	Buf	0	0	0	0	0	0	15	86	0	0	2	12	0	0	0	0	9
LeSean McCoy	Phi	@GB	0	0	0	0	0	0	23	88	0	0	1	18	0	0	0	0	9
Mark Ingram	NO	Cin	0	0	0	0	0	0	23	67	0	0	7	30	0	0	0	0	9
Frank Gore	SF	@NYG	0	0	0	0	0	0	19	95	0	0	2	19	0	0	1	0	9
Isaiah Crowell	Cle	Hou	0	0	0	0	0	0	14	61	0	0	2	30	0	0	1	0	8
Ryan Mathews	SD	Oak	0	0	0	0	0	0	16	70	0	0	1	5	0	0	0	0	7
Knile Davis	KC	Sea	0	0	0	0	0	0	5	10	1	0	1	8	0	0	0	0	7
Shane Vereen	NE	@Ind	0	0	0	0	0	0	1	18	0	0	4	59	0	0	0	0	6
Andre Ellington	Ari	Det	0	0	0	0	0	0	19	42	0	0	4	24	0	0	0	0	6
Bryce Brown	Buf	@Mia	0	0	0	0	0	0	6	14	0	0	7	57	0	0	0	0	6
Latavius Murray	Oak	@SD	0	0	0	0	0	0	4	43	0	0	3	16	0	0	0	0	5
Jerick McKinnon	Min	@Chi	0	0	0	0	0	0	8	38	0	0	4	20	0	0	0	0	5
Rashad Jennings	NYG	SF	0	0	0	0	0	0	18	59	0	0	4	8	0	0	0	0	5
Jonathan Grimes	Hou	@Cle	0	0	0	0	0	0	13	54	0	0	0	0	0	0	0	0	5
DeAngelo Williams	Car	Atl	0	0	0	0	0	0	10	41	0	0	1	-3	0	0	0	0	4
Darren Sproles	Phi	@GB	0	0	0	0	0	0	2	21	0	0	2	23	0	0	0	0	4
Steven Jackson	Atl	@Car	0	0	0	0	0	0	17	41	0	0	2	6	0	0	0	0	4
Robert Hughes	Ari	Det	0	0	0	0	0	0	1	2	0	0	1	49	0	0	0	0	4
Anthony Dixon	Buf	@Mia	0	0	0	0	0	0	10	35	0	0	2	13	0	0	0	0	4
Damien Williams	Mia	Buf	0	0	0	0	0	0	0	0	0	0	2	38	0	0	0	0	3
De'Anthony Thomas	KC	Sea	0	0	0	0	0	0	3	22	0	0	1	10	0	0	0	0	3
Jonathan Stewart	Car	Atl	0	0	0	0	0	0	7	24	0	0	3	15	0	0	0	0	3
Charles Sims	TB	@Was	0	0	0	0	0	0	13	36	0	0	3	8	0	0	0	0	3
Branden Oliver	SD	Oak	0	0	0	0	0	0	13	36	0	0	1	3	0	0	0	0	3
Benny Cunningham	Stl	Den	0	0	0	0	0	0	2	7	0	0	4	31	0	0	0	0	3
Rex Burkhead	Cin	@NO	0	0	0	0	0	0	2	1	0	0	3	36	0	0	0	0	3
Daniel Thomas	Mia	Buf	0	0	0	0	0	0	5	23	0	0	0	0	0	0	0	0	2
Theo Riddick	Det	@Ari	0	0	0	0	0	0	2	2	0	0	3	24	0	0	0	0	2
Trent Richardson	Ind	NE	0	0	0	0	0	0	6	0	0	0	1	21	0	0	0	0	2
Cedric Peerman	Cin	@NO	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	2
Darren McFadden	Oak	@SD	0	0	0	0	0	0	8	21	0	0	0	0	0	0	0	0	2
Carlos Hyde	SF	@NYG	0	0	0	0	0	0	9	25	0	0	1	5	0	0	0	0	2
Devonta Freeman	Atl	@Car	0	0	0	0	0	0	6	28	0	0	0	0	0	0	0	0	2
Travaris Cadet	NO	Cin	0	0	0	0	0	0	1	0	0	0	4	31	0	0	1	0	2
Fozzy Whittaker	Car	Atl	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	1
Terrance West	Cle	Hou	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	1
Robert Turbin	Sea	@KC	0	0	0	0	0	0	4	11	0	0	0	0	0	0	0	0	1
James Starks	GB	Phi	0	0	0	0	0	0	8	9	0	0	2	17	0	0	0	0	1
Anthony Sherman	KC	Sea	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Silas Redd	Was	TB	0	0	0	0	0	0	4	16	0	0	2	9	0	0	0	0	1
Dexter McCluster	Ten	Pit	0	0	0	0	0	0	1	5	0	0	1	17	0	0	0	0	1
Brian Leonard	NO	Cin	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1
Patrick DiMarco	Atl	@Car	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	1
Matt Asiata	Min	@Chi	0	0	0	0	0	0	1	2	0	0	3	12	0	0	0	0	1
