   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Miles Austin	Cle	Hou	0	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	3
Wes Welker	Den	@Stl	0	0	0	0	0	0	0	0	0	0	4	28	0	0	0	0	2
Mohamed Sanu	Cin	@NO	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	2
Andre Roberts	Was	TB	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0	2
Paul Richardson	Sea	@KC	0	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	2
Cordarrelle Patterson	Min	@Chi	0	0	0	0	0	0	1	3	0	0	2	24	0	0	0	0	2
Damaris Johnson	Hou	@Cle	0	0	0	0	0	0	1	6	0	0	5	21	0	0	0	0	2
T.Y. Hilton	Ind	NE	0	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	2
Travis Benjamin	Cle	Hou	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	2
Stedman Bailey	Stl	Den	0	0	0	0	0	0	0	0	0	0	3	26	0	0	0	0	2
Tavon Austin	Stl	Den	0	0	0	0	0	0	2	11	0	0	2	10	0	0	0	0	2
Robert Woods	Buf	@Mia	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	1
Marquess Wilson	Chi	Min	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
Niles Paul	Was	TB	0	0	0	0	0	0	0	0	0	0	3	17	0	0	0	0	1
Lance Moore	Pit	@Ten	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1
Andre Holmes	Oak	@SD	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0	1
Brice Butler	Oak	@SD	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1
Martavis Bryant	Pit	@Ten	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
Dwayne Bowe	KC	Sea	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	1
Danny Amendola	NE	@Ind	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1
