
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts
Shane Vereen	NE	NYJ	0	0	0	0	0	0	11	43	0	0	5	71	2	0	0	0	23
Matt Forte	Chi	Mia	0	0	0	0	0	0	12	49	1	0	6	60	1	0	0	0	22
Ronnie Hillman	Den	SF	0	0	0	0	0	0	14	74	2	0	4	29	0	0	0	0	21
Ahmad Bradshaw	Ind	Cin	0	0	0	0	0	0	10	52	1	0	3	36	1	0	1	0	19
Le'Veon Bell	Pit	Hou	0	0	0	0	0	0	12	57	0	0	8	88	1	0	0	0	19
DeMarco Murray	Dal	NYG	0	0	0	0	0	0	28	128	1	0	1	4	0	0	0	0	18
Stepfan Taylor	Ari	@Oak	0	0	0	0	0	0	12	40	1	0	2	19	1	0	0	0	17
Chris Ivory	NYJ	@NE	0	0	0	0	0	0	21	107	1	0	4	18	0	0	0	0	17
Arian Foster	Hou	@Pit	0	0	0	0	0	0	20	102	0	0	4	13	1	0	1	0	16
Jamaal Charles	KC	@SD	0	0	0	0	0	0	22	95	1	0	2	12	0	0	0	0	16
Andre Ellington	Ari	@Oak	0	0	0	0	0	0	24	88	0	0	6	72	0	0	0	0	15
Lamar Miller	Mia	@Chi	0	0	0	0	0	0	18	61	1	0	2	22	0	0	0	0	14
Tre Mason	Stl	Sea	0	0	0	0	0	0	18	85	1	0	0	0	0	0	0	0	14
Eddie Lacy	GB	Car	0	0	0	0	0	0	12	63	1	0	3	10	0	0	0	0	13
Trent Richardson	Ind	Cin	0	0	0	0	0	0	14	77	0	0	4	41	0	0	0	0	11
Joique Bell	Det	NO	0	0	0	0	0	0	18	48	1	0	2	19	0	0	0	0	11
Jerick McKinnon	Min	@Buf	0	0	0	0	0	0	19	103	0	0	2	-2	0	0	0	0	10
Darren McFadden	Oak	Ari	0	0	0	0	0	0	14	48	1	0	4	7	0	0	0	0	10
Benny Cunningham	Stl	Sea	0	0	0	0	0	0	2	3	0	0	5	46	1	0	0	0	10
James Starks	GB	Car	0	0	0	0	0	0	7	36	1	0	1	7	0	0	0	0	9
Justin Forsett	Bal	Atl	0	0	0	0	0	0	23	95	0	0	0	0	0	0	0	0	9
Bernard Pierce	Bal	Atl	0	0	0	0	0	0	8	21	1	0	0	0	0	0	0	0	8
Alfred Blue	Hou	@Pit	0	0	0	0	0	0	5	14	0	0	1	11	1	0	0	0	8
Anthony Sherman	KC	@SD	0	0	0	0	0	0	0	0	0	0	2	12	1	0	0	0	7
Branden Oliver	SD	KC	0	0	0	0	0	0	15	67	0	0	2	11	0	0	0	0	7
Storm Johnson	Jac	Cle	0	0	0	0	0	0	6	16	1	0	0	0	0	0	0	0	7
Chris Johnson	NYJ	@NE	0	0	0	0	0	0	13	61	0	0	2	19	0	0	0	0	7
Jonathan Stewart	Car	@GB	0	0	0	0	0	0	13	50	0	0	1	12	0	0	0	0	6
Marshawn Lynch	Sea	@Stl	0	0	0	0	0	0	18	53	0	0	2	18	0	0	0	0	6
Anthony Dixon	Buf	Min	0	0	0	0	0	0	13	51	0	0	3	15	0	0	0	0	6
Andre Williams	NYG	@Dal	0	0	0	0	0	0	18	51	0	0	0	0	0	0	0	0	5
C.J. Spiller	Buf	Min	0	0	0	0	0	0	1	53	0	0	1	3	0	0	0	0	5
Bishop Sankey	Ten	@Was	0	0	0	0	0	0	16	56	0	0	0	0	0	0	0	0	5
Alfred Morris	Was	Ten	0	0	0	0	0	0	18	54	0	0	0	0	0	0	0	0	5
Travaris Cadet	NO	@Det	0	0	0	0	0	0	0	0	0	0	6	51	0	0	0	0	5
Daniel Thomas	Mia	@Chi	0	0	0	0	0	0	7	25	0	0	3	25	0	0	0	0	4
Juwan Thompson	Den	SF	0	0	0	0	0	0	6	30	0	0	0	0	0	0	0	0	3
Ben Tate	Cle	@Jac	0	0	0	0	0	0	16	36	0	0	1	-2	0	0	0	0	3
Dan Herron	Ind	Cin	0	0	0	0	0	0	5	37	0	0	0	0	0	0	0	0	3
Devonta Freeman	Atl	@Bal	0	0	0	0	0	0	2	20	0	0	5	17	0	0	0	0	3
Knile Davis	KC	@SD	0	0	0	0	0	0	10	25	0	0	1	11	0	0	0	0	3
Reggie Bush	Det	NO	0	0	0	0	0	0	4	10	0	0	5	22	0	0	0	0	3
Matt Asiata	Min	@Buf	0	0	0	0	0	0	6	24	0	0	1	13	0	0	0	0	3
Darrel Young	Was	Ten	0	0	0	0	0	0	1	14	0	0	1	10	0	0	0	0	2
Robert Turbin	Sea	@Stl	0	0	0	0	0	0	2	7	0	0	3	24	0	0	0	0	2
